strain	Isotype	iso_group	old_strain_count	new_strain_count
JU561	JU561	140	1	1
JU642	JU642	141	1	1
JU751	JU751	142	1	1
JU774	JU774	143	1	1
JU775	JU775	144	1	1
JU778	JU778	145	1	1
JU782	JU782	146	1	1
JU792	JU792	147	1	1
JU830	JU830	148	1	1
JU847	JU847	149	1	1
KR314	KR314	150	1	1
LKC34	LKC34	151	1	1
LSJ1	LSJ1	152	1	1
MY1	MY1	153	1	1
MY10	MY10	154	1	1
MY16	MY16	155	1	1
MY18	MY18	156	2	2
MY2	MY23	4	2	3
MY23	MY23	4	2	3
MY6	MY18	156	2	2
N2	N2	30	3	3
NIC1	NIC1	174	1	1
NIC166	NIC166	177	1	1
NIC195	NIC195	178	4	4
NIC196	NIC195	178	4	4
NIC197	NIC195	178	4	4
NIC198	NIC195	178	4	4
NIC199	NIC199	179	2	2
NIC2	NIC2	180	1	1
NIC200	NIC199	179	2	2
NIC207	NIC207	181	1	1
NIC231	NIC231	182	2	2
NIC232	NIC231	182	2	2
NIC236	NIC236	183	2	2
NIC237	NIC236	183	2	2
NIC242	NIC242	184	1	1
NIC251	NIC251	185	1	1
NIC252	NIC252	186	1	1
NIC255	NIC255	187	1	1
NIC256	NIC256	188	2	2
NIC258	NIC258	189	1	1
NIC259	NIC259	190	1	1
NIC260	NIC260	191	1	1
NIC261	NIC261	192	1	1
NIC262	NIC262	193	1	1
NIC263	NIC256	188	2	2
NIC265	NIC265	194	1	1
NIC266	NIC266	195	1	1
NIC267	NIC267	196	2	2
NIC268	NIC268	197	1	1
NIC269	NIC269	198	1	1
NIC270	NIC267	196	2	2
NIC271	NIC271	199	1	1
NIC272	NIC272	200	2	2
NIC273	NIC272	200	2	2
NIC274	NIC274	201	1	1
NIC275	NIC275	202	1	1
NIC276	NIC276	203	1	1
NIC277	NIC277	204	1	1
NIC3	NIC3	205	2	2
NIC4	NIC3	205	2	2
PB303	PB303	217	1	1
PS2025	PS2025	218	1	1
PX174	RC301	159	2	14
PX179	PX179	219	1	1
QG2075	QG2075	220	1	1
QG536	QG536	221	3	3
QG537	QG536	221	3	3
QG538	QG536	221	3	3
QG556	QG556	222	2	2
QG557	QG557	223	1	1
QG558	QG556	222	2	2
QW947	QW947	224	1	1
QX1211	QX1211	225	3	3
QX1212	QX1212	226	3	3
QX1213	QX1212	226	3	3
QX1214	QX1212	226	3	3
QX1215	QX1211	225	3	3
QX1216	QX1211	225	3	3
QX1233	QX1233	227	1	1
QX1791	QX1791	228	1	1
QX1792	QX1792	229	1	1
QX1793	QX1793	230	1	1
QX1794	QX1794	231	1	1
RC301	RC301	159	2	14
WN2001	WN2001	232	11	11
WN2002	WN2002	233	1	1
WN2010	WN2001	232	11	11
WN2011	WN2001	232	11	11
WN2013	WN2001	232	11	11
WN2014	WN2001	232	11	11
WN2016	WN2001	232	11	11
WN2017	WN2001	232	11	11
WN2018	WN2001	232	11	11
WN2019	WN2001	232	11	11
WN2020	WN2001	232	11	11
WN2021	WN2001	232	11	11
JU1960	NA	2	265	5
BRC20113	NA	3	265	2
BRC20231	NA	4	265	3
BRC20263	NA	5	265	1
ECA189	NA	23	265	4
ECA190	NA	23	265	4
ECA192	NA	23	265	4
ECA193	NA	23	265	4
ECA191	NA	24	265	1
ECA339	NA	29	265	2
ECA349	NA	32	265	1
ECA363	NA	34	265	1
ECA372	NA	35	265	1
JU2860	NA	56	265	2
JU1656	NA	58	265	5
JU1762	NA	58	265	5
JU1770	NA	58	265	5
JU1807	NA	66	265	3
JU1920	NA	69	265	7
JU1922	NA	69	265	7
JU1929	NA	69	265	7
JU2139	NA	69	265	7
JU2604	NA	69	265	7
JU2605	NA	69	265	7
JU1666	NA	72	265	1
JU1792	NA	73	265	1
JU1793	NA	74	265	7
JU1920	NA	74	265	7
JU1922	NA	74	265	7
JU1929	NA	74	265	7
JU2139	NA	74	265	7
JU2604	NA	74	265	7
JU2605	NA	74	265	7
JU1808	NA	75	265	1
JU1793	NA	77	265	8
JU1920	NA	77	265	8
JU1922	NA	77	265	8
JU1929	NA	77	265	8
JU2139	NA	77	265	8
JU2604	NA	77	265	8
JU2605	NA	77	265	8
JU1924	NA	78	265	3
JU2151	NA	78	265	3
JU2600	NA	78	265	3
JU1934	NA	79	265	1
JU2016	NA	82	265	1
JU2017	NA	83	265	1
JU2106	NA	84	265	1
JU2131	NA	85	265	1
JU2141	NA	86	265	1
JU2234	NA	87	265	1
JU2250	NA	88	265	1
JU2257	NA	89	265	2
JU2287	NA	89	265	2
JU2460	NA	91	265	2
JU2527	NA	91	265	2
JU2478	NA	94	265	1
JU2534	NA	99	265	1
JU2565	NA	100	265	1
JU2566	NA	101	265	1
JU2570	NA	102	265	1
JU2572	NA	103	265	1
JU2575	NA	104	265	1
JU2576	NA	105	265	1
JU2578	NA	106	265	1
JU2581	NA	108	265	1
