isotype	depth_of_coverage
AB1	116.647962958
AB2	40.2630589366
AB3	26.541084698
AB4	159.953808802
BRC20067	33.7667685672
BRC20113	39.6947553637
BRC20231	44.9830432742
BRC20263	46.755005028
CB4852	297.428222197
CB4854	68.5903929088
CB4856	183.597507612
CB4932	116.819838365
CX11254	52.8209029557
CX11262	41.5691789757
CX11264	135.474587327
CX11271	66.3226010673
CX11276	50.2621371266
CX11285	166.272775069
CX11292	98.2887622321
CX11307	72.4117831689
CX11314	60.3123839492
CX11315	50.5462129407
DL200	37.7009679308
DL226	80.7011199056
DL238	128.774798619
ECA189	40.2402265188
ECA190	55.047627624
ECA191	43.2226740194
ECA192	37.7225809509
ECA193	45.8013176582
ECA243	122.471572342
ECA245	42.5745552081
ECA246	136.59166344
ECA248	65.1870579741
ECA249	57.4777215806
ECA250	39.1031366356
ECA251	74.5220935987
ECA252	56.5212256445
ECA253	84.229349062
ECA254	31.2514842665
ECA259	55.803716468
ECA339	29.1338728169
ECA349	39.5405300166
ECA363	49.1089525688
ECA36	51.9917570978
ECA372	49.9162608896
ED3005	67.4274969544
ED3011	50.5172566119
ED3012	59.8250345628
ED3017	129.74666639
ED3021	26.6768287457
ED3040	162.405171345
ED3042	26.3708535517
ED3046	120.958343455
ED3048	56.8398180028
ED3049	147.811619972
ED3052	83.5053131581
ED3057	26.4588869532
ED3072	29.022634365
ED3073	90.8328832042
ED3077	102.133110261
EG4347	67.7243952946
EG4348	14.5344696037
EG4349	38.9118857202
EG4724	96.6692094574
EG4725	70.4735476049
EG4946	111.221730472
GXW1	98.3961294014
JT11398	63.891306589
JU1088	96.43466328
JU1172	45.6512098585
JU1200	150.443387713
JU1212	41.8086723044
JU1213	35.861020389
JU1242	60.7418038364
JU1246	55.7599381196
JU1395	78.1708554184
JU1400	114.508119989
JU1401	26.9157577606
JU1409	86.5478410876
JU1440	54.5271573261
JU1491	115.165256424
JU1516	41.8081069237
JU1530	156.091112453
JU1568	67.2689286756
JU1580	151.061214561
JU1581	120.791595124
JU1586	125.494382145
JU1652	61.7222148295
JU1656	27.0590904145
JU1666	47.2659287175
JU1762	38.1196205156
JU1770	51.175851001
JU1792	53.5755795444
JU1793	49.7257782139
JU1807	54.3137075883
JU1808	39.8995685367
JU1893	2.27727551017
JU1896	72.5537093509
JU1920	39.7835367728
JU1922	35.0236379208
JU1924	29.6200099952
JU1929	34.6789472981
JU1934	50.2571812404
JU1960	56.1208238293
JU2001	91.5826116544
JU2007	101.238089709
JU2016	41.3066568617
JU2017	40.7130465176
JU2106	47.2911070565
JU2131	32.556489688
JU2139	29.5857640958
JU2141	40.0457003238
JU2151	31.799626731
JU2234	48.4338834136
JU2250	35.2059789742
JU2257	33.2811302402
JU2287	32.9967743483
JU2316	23.7228201259
JU2460	56.8561965046
JU2461	1.75506918431
JU2464	33.9992882983
JU2466	27.8950278812
JU2467	54.7202640565
JU2468	35.9143667345
JU2478	53.2991605711
JU2513	38.6607727602
JU2519	24.0962406359
JU2522	38.8153498698
JU2526	32.5706029674
JU2527	54.2856079958
JU2534	72.0820524709
JU2565	33.3100784323
JU2566	46.3710831043
JU2570	53.1600238401
JU2572	29.7955717944
JU2575	43.1861476413
JU2576	55.6126457664
JU2578	41.6387018415
JU2581	33.1928011556
JU2586	43.1314680043
JU2587	31.1087724745
JU258	127.197685487
JU2592	42.8733480425
JU2593	56.3287484113
JU2600	41.3530748302
JU2604	44.7702110678
JU2605	32.6635017743
JU2610	55.038727165
JU2611	55.6533765929
JU2619	18.4970241878
JU263	27.1524112626
JU2771	2.22464116546
JU2800	65.5511786189
JU2802	33.9078259773
JU2811	39.8771803567
JU2825	30.2812104505
JU2828	31.8062251332
JU2829	47.3971753857
JU2830	35.5754401038
JU2838	52.7446736073
JU2841	40.0827638236
JU2853	55.4684880655
JU2860	37.6943797195
JU2862	46.5063414829
JU2866	57.2678038272
JU2878	79.6058923283
JU2879	65.3609192437
JU2906	32.9406614163
JU2907	39.9914776581
JU2908	38.4682439546
JU300	27.2386844354
JU310	92.2493740602
JU311	44.0079988512
JU312	75.693396306
JU315	102.044610884
JU319	30.1195965443
JU322	27.3407684956
JU323	60.0104857487
JU345	26.9119608151
JU346	68.6616672683
JU360	95.5807117557
JU361	26.4076950174
JU363	69.2228838385
JU367	58.2529639387
JU393	42.5608629928
JU394	56.626971627
JU397	62.1985966871
JU400	41.1863358523
JU406	31.0665410956
JU440	68.1236968111
JU533	26.0443058077
JU561	44.712751692
JU642	103.638693605
JU751	62.5652715068
JU774	82.1502512589
JU775	91.3668969036
JU778	88.2271776111
JU782	147.355998437
JU792	110.208139127
JU830	63.2323796224
JU847	36.1135360018
KR314	89.1144396537
LKC34	96.6327374137
LSJ1	111.267175068
MY10	71.7335080357
MY16	153.231777158
MY18	114.20779271
MY1	186.608686645
MY2001	18.4632039592
MY2004	50.2772650102
MY2011	27.8815650489
MY2014	56.4447922406
MY2022	41.4720020514
MY2024	25.4301721028
MY2042	45.6175112915
MY2050	46.5812054917
MY2051	26.6118445012
MY2054	42.285435111
MY2078	22.6404729491
MY2097	19.791560433
MY2099	20.8805094222
MY2109	34.5330581063
MY2121	32.9054747313
MY2137	41.0695492702
MY2138	42.1946017088
MY2142	38.1895886761
MY2143	40.9579094478
MY2144	25.3479741685
MY2147	40.9714516827
MY2198	26.7792903646
MY2199	51.7404617601
MY2208	22.0799314156
MY2212	49.7739939137
MY2224	25.9973258289
MY2239	20.1754777699
MY2282	45.4789291023
MY2288	21.8645324006
MY2291	33.8743034661
MY2294	44.3145153648
MY2338	35.7591988369
MY2339	53.0472242393
MY2344	25.294118053
MY2347	23.5404713945
MY2373	43.4461829675
MY23	132.808032826
MY2406	51.8035323354
MY2434	44.1789363645
MY2443	40.9031532201
MY2453	85.5197286819
MY2479	14.9347505551
MY2481	27.8868298903
MY2491	32.9716909374
MY2502	45.2201044586
MY2530	35.9797214779
MY2532	50.3413763148
MY2535	53.5945289232
MY2541	32.6824252772
MY2573	47.3750949244
MY2579	33.7242235764
MY2585	35.6605799923
MY2622	18.8634260192
MY2623	44.2035868253
MY2630	41.9504535715
MY2635	36.4454378615
MY2636	50.5618609945
MY2640	43.1724321227
MY2649	3.67904966497
MY2679	42.9144815956
MY2681	30.6414385635
MY2682	2.85272295294
MY2684	43.5951631767
MY2685	44.8065671436
MY2688	65.2149390225
MY2689	32.199368028
MY2691	51.6961008103
MY2692	39.7885284167
MY2693	60.1079659943
MY2713	59.7182304707
MY2719	23.3166875637
MY2741	41.4592307685
MY2	24.928060665
MY508	9.09993889401
MY518	36.0025570466
MY524	33.7078587654
MY538	26.9762243238
MY559	32.0476449544
MY561	53.5171709971
MY564	31.262811944
MY570	50.2311009147
MY579	36.3962524391
MY589	41.958402386
MY673	16.7033844798
MY679	29.3811258817
MY684	22.4451319177
MY6	25.5517867871
MY710	35.5483871138
MY713	37.7259119011
MY741	27.5968492777
MY772	65.3415121857
MY792	46.0928913084
MY795	35.0641958724
MY803	35.0474067765
MY804	12.3543190766
MY819	58.8249844463
MY864	50.2501622528
MY881	42.7022951896
MY882	41.8495581869
MY887	24.7868593769
MY904	6.52523377522
MY920	66.9328632503
MY934	42.6395676917
MY965	42.5044824472
MY990	30.4247542795
MY991	22.7526188621
N2	30.1139537952
NIC1049	37.5661249724
NIC1107	61.2979162848
NIC166	38.791580336
NIC195	47.5664331498
NIC196	48.3420711548
NIC197	40.7327568869
NIC198	30.673169436
NIC199	40.0669091116
NIC1	68.387590826
NIC200	45.7278640102
NIC207	45.2603127616
NIC231	43.6211858675
NIC232	75.2202952422
NIC236	28.8916488986
NIC237	46.5547499406
NIC242	34.8739232551
NIC251	36.470779772
NIC252	27.7507430045
NIC255	31.6128066257
NIC256	27.0248657343
NIC258	36.24290069
NIC259	27.1369310681
NIC260	74.8349704164
NIC261	41.3998039674
NIC262	31.4871792936
NIC263	25.2868506569
NIC265	27.6703822685
NIC266	33.4968915576
NIC267	41.3315399862
NIC268	38.2251301151
NIC269	45.0970316703
NIC270	35.8634758665
NIC271	33.4826503745
NIC272	36.9195697131
NIC273	29.9381563109
NIC274	60.7660809864
NIC275	27.8630341715
NIC276	47.6465682321
NIC277	35.3714881442
NIC2	70.3862731598
NIC3	65.0644444604
NIC4	54.4381831989
NIC501	33.1504410254
NIC508	39.2056659606
NIC511	48.349594089
NIC512	42.0893369182
NIC513	79.6807239299
NIC514	34.1461459166
NIC515	40.6317371784
NIC521	29.2761201691
NIC522	33.4441912917
NIC523	47.366721486
NIC526	32.8333522309
NIC527	31.7804036262
NIC528	73.4530389719
NIC529	41.9718916027
PB303	65.2288005928
PS2025	59.6428459827
PX174	51.6600035433
PX179	87.9882967383
QG2075	30.3968411131
QG536	75.8087386544
QG537	103.880540772
QG538	52.8009006326
QG556	48.4671566188
QG557	49.8869302728
QG558	34.4401995042
QW947	34.2702474486
QX1211	159.464421891
QX1212	81.9537998976
QX1213	83.5843587607
QX1214	78.9550097525
QX1215	85.563799014
QX1216	54.5042457152
QX1233	66.8658863728
QX1791	86.7181362007
QX1792	110.068510156
QX1793	61.9476905747
QX1794	75.7241216783
RC301	90.0748494305
WN2001	63.6914457824
WN2002	48.3407575769
WN2010	45.9085702258
WN2011	50.5460542352
WN2013	55.0767843987
WN2014	42.1545534972
WN2016	63.3431829506
WN2017	56.844823168
WN2018	42.0514412019
WN2019	52.8033250191
WN2020	45.2029618851
WN2021	23.8272500775
WN2033	20.6533246716
WN2035	31.6131812926
WN2039	52.7816402645
WN2050	35.9982813722
WN2056	41.5037822127
XZ1513	38.1931911686
XZ1514	40.4908583268
XZ1515	34.4492186533
XZ1516	36.5528962696
