sample_i	sample_j	discordance	number_of_sites	concordance
AB2	AB1	37129	526551	0.929486
AB3	AB1	36589	529204	0.93086
AB3	AB2	106	552747	0.999808
AB4	AB1	31939	470019	0.932047
AB4	AB2	70	490217	0.999857
AB4	AB3	30	492374	0.999939
BRC20067	AB1	32064	510866	0.937236
BRC20067	AB2	22651	533226	0.957521
BRC20067	AB3	22219	536007	0.958547
BRC20067	AB4	20221	475227	0.95745
CB4851	AB1	40351	526770	0.923399
CB4851	AB2	50250	549488	0.908551
CB4851	AB3	49548	552472	0.910316
CB4851	AB4	43045	490880	0.912311
CB4851	BRC20067	46432	533248	0.912926
CB4852	AB1	18783	451045	0.958357
CB4852	AB2	23904	469487	0.949085
CB4852	AB3	23449	471624	0.95028
CB4852	AB4	20679	419592	0.950716
CB4852	BRC20067	15697	455216	0.965517
CB4852	CB4851	33501	469617	0.928663
CB4853	AB1	37022	525019	0.929484
CB4853	AB2	10396	548035	0.98103
CB4853	AB3	10333	550765	0.981239
CB4853	AB4	8670	489351	0.982283
CB4853	BRC20067	22187	531645	0.958267
CB4853	CB4851	50771	547854	0.907327
CB4853	CB4852	24775	468246	0.94709
CB4854	AB1	34713	511450	0.932128
CB4854	AB2	31988	533119	0.939998
CB4854	AB3	31579	535697	0.941051
CB4854	AB4	28313	475599	0.940469
CB4854	BRC20067	25927	517113	0.949862
CB4854	CB4851	49760	532952	0.906633
CB4854	CB4852	24243	456267	0.946867
CB4854	CB4853	31072	531465	0.941535
CB4855	AB1	39099	526275	0.925706
CB4855	AB2	15715	549785	0.971416
CB4855	AB3	15575	552720	0.971821
CB4855	AB4	11823	489561	0.97585
CB4855	BRC20067	26700	532826	0.94989
CB4855	CB4851	49894	549216	0.909154
CB4855	CB4852	27871	469203	0.940599
CB4855	CB4853	22525	547355	0.958848
CB4855	CB4854	35611	532650	0.933144
CB4856	AB1	78355	463861	0.831081
CB4856	AB2	78853	484056	0.837099
CB4856	AB3	79086	486253	0.837356
CB4856	AB4	61724	430349	0.856572
CB4856	BRC20067	75604	469352	0.838918
CB4856	CB4851	80606	483643	0.833336
CB4856	CB4852	66646	413765	0.838928
CB4856	CB4853	78608	482545	0.837097
CB4856	CB4854	77268	469857	0.83555
CB4856	CB4855	79911	483209	0.834624
CB4932	AB1	28628	492164	0.941832
CB4932	AB2	36260	512951	0.929311
CB4932	AB3	35848	515894	0.930513
CB4932	AB4	26746	459351	0.941774
CB4932	BRC20067	35853	497837	0.927982
CB4932	CB4851	31284	515226	0.939281
CB4932	CB4852	27638	439123	0.937061
CB4932	CB4853	37241	511526	0.927196
CB4932	CB4854	38899	497821	0.921861
CB4932	CB4855	36643	512804	0.928544
CB4932	CB4856	65239	451404	0.855475
CX11254	AB1	52977	523601	0.898822
CX11254	AB2	38623	546321	0.929303
CX11254	AB3	38379	549041	0.930098
CX11254	AB4	24702	487208	0.949299
