sample_i	sample_j	discordance	number_of_sites	concordance
AB3	AB1	63299	1581014	0.959963
AB4	AB1	63766	1587936	0.959843
AB4	AB3	54	1581829	0.999966
BRC20067	AB1	57467	1583003	0.963697
BRC20067	AB3	39712	1576737	0.974814
BRC20067	AB4	40055	1583604	0.974706
BRC20113	AB1	57796	1587192	0.963586
BRC20113	AB3	39905	1580866	0.974758
BRC20113	AB4	40251	1587788	0.97465
BRC20113	BRC20067	60	1583706	0.999962
BRC20231	AB1	109445	1583803	0.930897
BRC20231	AB3	96125	1577703	0.939073
BRC20231	AB4	96669	1584611	0.938995
BRC20231	BRC20067	98969	1579486	0.937341
BRC20231	BRC20113	99303	1583663	0.937295
BRC20263	AB1	72102	1586999	0.954567
BRC20263	AB3	54574	1580881	0.965479
BRC20263	AB4	54974	1587784	0.965377
BRC20263	BRC20067	46477	1582670	0.970634
BRC20263	BRC20113	46661	1586850	0.970595
BRC20263	BRC20231	97723	1583669	0.938293
CB4851	AB1	62335	1587342	0.96073
CB4851	AB3	80103	1581226	0.949341
CB4851	AB4	80701	1588148	0.949185
CB4851	BRC20067	74949	1583028	0.952655
CB4851	BRC20113	75289	1587212	0.952565
CB4851	BRC20231	106525	1584026	0.93275
CB4851	BRC20263	91156	1587187	0.942568
CB4852	AB1	35152	1588159	0.977866
CB4852	AB3	45428	1581826	0.971281
CB4852	AB4	45806	1588748	0.971168
CB4852	BRC20067	28612	1583821	0.981935
CB4852	BRC20113	28775	1588015	0.98188
CB4852	BRC20231	101809	1584615	0.935752
CB4852	BRC20263	55047	1587801	0.965331
CB4852	CB4851	51982	1588154	0.967269
CB4853	AB1	59918	1588117	0.962271
CB4853	AB3	10273	1582021	0.993506
CB4853	AB4	10168	1588939	0.993601
CB4853	BRC20067	38221	1583784	0.975867
CB4853	BRC20113	38412	1587968	0.975811
CB4853	BRC20231	98093	1584793	0.938104
CB4853	BRC20263	52787	1587965	0.966758
CB4853	CB4851	79927	1588328	0.949679
CB4853	CB4852	42884	1588929	0.973011
CB4854	AB1	58762	1585028	0.962927
CB4854	AB3	54928	1578673	0.965206
CB4854	AB4	55384	1585570	0.96507
CB4854	BRC20067	45482	1580677	0.971226
CB4854	BRC20113	45738	1584866	0.971141
CB4854	BRC20231	107274	1581461	0.932168
CB4854	BRC20263	62430	1584631	0.960603
CB4854	CB4851	78306	1584977	0.950595
CB4854	CB4852	45169	1585757	0.971516
CB4854	CB4853	49162	1585754	0.968998
CB4855	AB1	67406	1584673	0.957464
CB4855	AB3	23688	1578681	0.984995
CB4855	AB4	23804	1585482	0.984986
CB4855	BRC20067	46318	1580368	0.970692
CB4855	BRC20113	46542	1584535	0.970627
CB4855	BRC20231	96867	1581472	0.938749
CB4855	BRC20263	58095	1584571	0.963337
CB4855	CB4851	80693	1584924	0.949087
CB4855	CB4852	53754	1585487	0.966096
CB4855	CB4853	31288	1585673	0.980268
CB4855	CB4854	62554	1582336	0.960467
CB4856	AB1	119455	1579657	0.924379
CB4856	AB3	113362	1573597	0.92796
