isotype	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9
AB4	MMP-ML_2-AB3	UNKNOWN	AB4	4970021	4880408	0	207.636	4849442	101124	5283	2911	2304	1745	1214	800	495	364	276	281	379	478	593	905	1427	340789	285413	226734	170834	123017	85925	55167	34638	22060	14161
AB4	MMP-ML_3-AB3	UNKNOWN	AB4	8108214	7983343	0	217.906	7911130	164976	8525	4746	3578	2692	1909	1249	802	497	397	415	492	711	984	1602	3509	564809	477796	381528	286593	208930	144847	92335	57982	36262	23430
AB4	MMP-ML_5-AB3	UNKNOWN	AB4	3919299	3858188	0	267.352	3822153	80119	4163	2337	1782	1382	940	597	364	165	118	73	107	144	426	1704	2725	274648	234255	186902	140402	103047	70724	45173	28226	17613	11526
AB4	MMP-ML_6-AB3	UNKNOWN	AB4	3584830	3523870	0	230.575	3496855	73353	3815	2121	1557	1171	856	540	324	174	100	112	127	212	448	1096	1969	250274	211847	170586	128400	94656	65392	41702	26211	16360	10387
AB4	MMP-ML_7-AB3	UNKNOWN	AB4	6727513	6611147	0	216.772	6563647	137036	7323	3931	2934	2286	1598	993	528	325	211	180	206	314	750	1938	3313	467226	396704	315791	237397	172856	119374	76013	47269	29837	19295
AB4	Princeton1-PL_10-AB4	UNKNOWN	AB4	22323659	22117678	0	196.991	21776185	471854	25579	13171	9674	7218	5051	3020	1611	866	360	178	419	1852	2296	2165	2160	1250621	991587	732606	509060	356624	191462	122344	69083	36578	20729
AB4	Princeton1-PL_11-AB4	UNKNOWN	AB4	48755108	48310835	0	157.702	47533794	1049884	57749	29793	21519	16254	11539	7186	4031	2067	1061	470	384	853	1518	4661	12345	3063473	2505524	1915139	1390272	981217	604625	382040	226277	128875	76756
AB4	Princeton1-PL_12-AB4	UNKNOWN	AB4	14876257	14592447	0	172.258	14533123	299964	14436	7618	5626	4206	2923	1867	973	494	241	137	377	1770	1369	790	343	860948	683473	510234	347591	231044	120031	72515	38596	19225	9944
AB4	Rockman-R999.1-AB2	UNKNOWN	AB4	39704062	37340881	0	108.038	38764670	800465	44331	24657	18561	14735	10194	6064	3282	1662	760	506	1089	4689	4005	2797	1595	2458548	2364706	1909147	1301335	1107070	663670	407164	271639	140163	72299
BRC20067	UChicago-EA2-BRC20067	UNKNOWN	BRC20067	15044872	13844344	0	94.3065	14664555	320433	18048	10267	8102	6312	4851	3136	1749	914	521	283	262	432	508	1029	3470	1094999	957073	799946	645848	519803	423881	344729	292075	241388	191272
BRC20067	UChicago2-L008-BRC20067	UNKNOWN	BRC20067	20442801	18954084	0	58.9608	19932876	440547	24344	13165	9727	7169	5394	3323	1863	842	442	236	153	177	221	433	1889	1490755	1285421	1054922	836960	653637	521475	418558	348977	286201	222848
CB4851	BGI1-RET3-ECA243	UNKNOWN	CB4851	19352489	19002744	0	136.278	18829755	387435	32981	25561	22602	17719	12907	7597	3697	1751	697	480	943	1211	4549	2604	0	913894	1698266	1463928	1192449	907246	341576	509271	333529	208118	124134
CB4851	BGI2-RET3-ECA243	UNKNOWN	CB4851	21557601	21151873	0	129.346	20978052	427604	36756	28726	25912	20383	14874	8339	4031	1939	769	567	979	1305	4736	2629	0	1021079	1902656	1652320	1344045	1026034	388410	581089	383894	242723	147541
CB4851	BGI3-RET3b-ECA243	UNKNOWN	CB4851	32525126	31921792	0	110.681	31662741	651997	53878	40292	35980	28076	20533	11905	5824	2679	1046	596	490	1477	5173	2439	0	1517168	2817649	2426339	1967959	1497060	569904	855254	565603	359227	218044
CB4851	Princeton1-PL_22-CB4851	UNKNOWN	CB4851	12359012	12304139	0	140.944	12046791	262065	14903	8798	7190	5394	3771	2286	1186	606	288	159	298	1350	1452	1960	515	878765	753110	608980	450272	326444	191876	125894	77209	42515	25246
CB4851	Princeton1-PL_23-CB4851	UNKNOWN	CB4851	39553802	39331749	0	102.706	38592288	834603	43745	23437	18271	13773	9844	6012	3101	1486	690	337	339	1274	1304	1470	1828	2475374	2035738	1588467	1135320	793313	463134	297079	177767	97946	57537
CB4852	BGI1-RET1-CB4852	UNKNOWN	CB4852	22470770	22351776	0	110.508	21875314	457635	37703	26695	23180	17815	13019	7611	3839	1783	735	576	638	859	2214	1154	0	1007747	1865664	1565077	1241328	923043	347326	517955	325587	209134	133321
CB4852	BGI1-RET4-CB4852	UNKNOWN	CB4852	50952045	50710990	0	83.9149	49679403	1029258	74525	48267	39293	29995	20588	11390	5357	2392	1013	753	1355	1218	4393	2845	0	2279816	4159069	3437710	2662738	1932367	715204	1043047	643268	395901	241888
CB4852	BGI2-RET1-CB4852	UNKNOWN	CB4852	22259545	22140531	0	111.293	21674519	449878	37335	26340	22318	17557	12592	7374	3818	1810	699	450	612	797	2311	1135	0	995653	1835430	1537130	1215914	897659	337562	499950	315016	200982	128844
CB4852	BGI2-RET4-CB4852	UNKNOWN	CB4852	48364723	48134277	0	83.7958	47163314	973431	70504	44925	36731	27647	18785	10530	4981	2280	929	731	1234	1512	4570	2619	0	2166363	3953554	3274467	2542272	1850046	686486	1002221	623290	389994	241923
CB4852	BGI3-RET1b-CB4852	UNKNOWN	CB4852	38272506	38074121	0	105.544	37269813	779151	63260	43703	37057	29140	21069	12290	5957	2816	1104	727	742	1130	3048	1499	0	1698857	3109730	2573502	2009138	1464893	543954	800735	493610	309634	194224
CB4852	Princeton1-PL_10-CB4852	UNKNOWN	CB4852	29958964	29813018	0	108.346	29224276	638886	34010	18048	13442	10407	7516	4226	2169	1085	430	234	340	965	1101	974	855	1792107	1444597	1089174	766762	532780	293625	189106	107748	57742	33496
CB4852	Princeton1-PL_11-CB4852	UNKNOWN	CB4852	62949028	62645800	0	105.571	61374051	1362028	73750	38612	28833	22385	16233	9706	5258	2589	1134	592	541	1116	1644	3388	7168	4179328	3486876	2704869	1979749	1395262	875015	552126	329137	191894	117110
CB4852	Rockman-R096.2-CB4852	UNKNOWN	CB4852	11180525	11084716	0	148.624	10915070	228909	12455	6491	4925	3841	2734	1716	915	500	270	213	240	711	648	492	395	663481	541143	413055	283959	192629	104238	67741	39042	21041	12449
CB4853	BGI1-RET3-ECA246	UNKNOWN	CB4853	11422994	11323739	0	108.865	11134208	230151	17756	11353	9020	6802	4731	2732	1347	634	261	182	323	435	1828	1231	0	501675	916143	762766	595344	435699	160474	234357	144981	88814	52514
CB4853	BGI2-RET3-ECA246	UNKNOWN	CB4853	13762271	13643215	0	107.544	13414460	276576	21274	13979	11031	8309	5856	3472	1737	794	333	220	314	530	2053	1333	0	604946	1105850	920984	724839	530220	195209	285707	176440	109059	65147
CB4853	BGI2-RET6-ECA245	UNKNOWN	CB4853	13416878	13306079	0	105.625	13073411	272261	21173	13837	10989	8450	5888	3433	1702	734	348	215	387	559	2102	1389	0	606991	1110844	932325	737541	542639	201655	298068	184693	114511	68813
CB4853	BGI3-RET3a-ECA246	UNKNOWN	CB4853	26783037	26541368	0	81.664	26113800	542772	40494	25507	19980	14864	10327	5977	2963	1359	511	319	324	585	2046	1209	0	1158473	2099496	1740239	1359129	990013	364503	533508	330401	201720	119792
CB4853	BGI3-RET6a-ECA245	UNKNOWN	CB4853	34862217	34567151	0	85.538	33979438	706975	54813	35632	27948	21271	14727	8203	4098	1799	857	583	720	1252	2703	1198	0	1529270	2770114	2297674	1798988	1317157	493519	729454	459727	286785	175593
CB4853	MMP-ML_2-CB4853	UNKNOWN	CB4853	3914979	3842089	0	86.8452	3824375	77922	4134	2308	1794	1381	994	682	398	217	110	66	89	74	98	145	192	274598	233102	186979	141014	101792	70695	46714	30051	19392	12546
CB4853	MMP-ML_3-CB4853	UNKNOWN	CB4853	6873588	6762508	0	88.4156	6714086	136822	7320	4204	3194	2397	1751	1105	655	370	190	130	108	175	194	326	561	489258	418960	335564	255251	184319	127695	84187	53736	33946	22267
CB4853	MMP-ML_5-CB4853	UNKNOWN	CB4853	3506020	3448329	0	92.4684	3424275	69853	3891	2178	1643	1242	875	555	296	165	78	43	32	45	85	322	442	250947	215733	173411	130686	95048	66324	43936	27671	17592	11451
CB4853	MMP-ML_6-CB4853	UNKNOWN	CB4853	4560344	4477665	0	89.7342	4453771	91325	4908	2770	2107	1628	1207	746	417	204	101	56	47	62	138	305	552	324809	280000	225634	171150	124561	87270	57310	37288	23624	15517
CB4853	MMP-ML_7-CB4853	UNKNOWN	CB4853	8243600	8092135	0	84.1258	8052586	163893	8936	5139	3817	2862	2023	1191	751	381	152	101	93	116	232	574	753	585211	501057	403171	303918	219768	153725	100356	64648	40788	26447
CB4853	Princeton1-PL_13-CB4853	UNKNOWN	CB4853	16735529	16503952	0	106.873	16333557	351295	18737	9727	7064	5442	3655	2171	1187	499	236	94	139	484	548	431	263	944178	742057	555980	389049	267609	141983	92763	52160	28012	15663
CB4853	Princeton1-PL_14-CB4853	UNKNOWN	CB4853	36424015	35902380	0	100.388	35530255	777124	41642	21498	15433	11938	8450	5144	2853	1497	582	278	249	628	832	1941	3671	2353982	1953821	1526049	1117506	784039	489459	313646	188764	109660	65072
CB4854	BGI1-RET7-CB4854	UNKNOWN	CB4854	14582550	14505196	0	139.311	14186969	296944	25827	19129	16354	12941	9133	5418	2761	1335	535	358	569	768	2118	1391	0	659983	1209979	1010561	789930	578705	213237	309442	187884	113668	66640
CB4854	BGI2-RET7-CB4854	UNKNOWN	CB4854	11572778	11511503	0	134.68	11262000	234343	20098	14780	12736	9876	6971	4022	2116	1060	359	255	428	597	1864	1273	0	526588	968586	811615	636606	470102	172967	252143	154273	94672	56253
CB4854	BGI3-RET7a-CB4854	UNKNOWN	CB4854	22164056	22043858	0	128.848	21561039	450062	39996	29712	26148	20570	14151	8315	4314	2071	950	678	747	1351	2691	1261	0	1003978	1847561	1553947	1231267	912197	344019	508672	319727	198867	122397
CB4854	MMP-ML_2-CB4854	UNKNOWN	CB4854	3124617	3088455	0	69.8621	3051511	63578	3343	1817	1292	1059	759	432	231	143	80	46	40	51	55	81	99	214662	182095	144473	107733	76925	53320	34522	21950	14094	9025
CB4854	MMP-ML_3-CB4854	UNKNOWN	CB4854	4703756	4660711	0	75.1961	4593023	95794	5019	2698	2216	1730	1163	758	370	215	122	46	49	57	100	148	248	330621	281961	224454	167634	120019	83229	53778	34089	21521	13974
CB4854	MMP-ML_5-CB4854	UNKNOWN	CB4854	2382320	2361041	0	77.5421	2325175	49393	2595	1451	1107	889	596	335	184	92	47	20	15	30	51	151	189	167884	143579	114582	85206	61706	42207	27597	17422	10944	6983
CB4854	MMP-ML_6-CB4854	UNKNOWN	CB4854	5429507	5373017	0	80.452	5299853	111934	5998	3255	2534	1921	1373	854	453	226	124	54	71	79	148	253	377	382203	325844	260018	194030	139965	97295	63011	40047	24921	16154
CB4854	MMP-ML_7-CB4854	UNKNOWN	CB4854	10108822	10000231	0	71.8122	9870830	206229	10881	5908	4675	3557	2452	1431	774	441	197	102	86	90	181	374	614	707239	601808	478978	355553	255732	176365	114244	72185	44978	29257
CB4855	BGI1-RET4-ECA248	UNKNOWN	CB4855	12118795	12014700	0	194.359	11807397	239967	18356	12167	10019	7668	5097	2846	1429	678	424	448	818	1220	6493	3768	0	551799	1010467	839459	656512	494315	180170	264027	164423	102462	61099
CB4855	BGI2-RET4-ECA248	UNKNOWN	CB4855	11154398	11057706	0	209.474	10866433	221248	16680	11090	9207	6935	4795	2870	1355	646	407	470	1390	1870	5913	3089	0	508092	929499	774398	605217	455219	166660	244056	152901	95278	57905
CB4855	BGI3-RET4b-ECA248	UNKNOWN	CB4855	17860209	17699649	0	165.034	17400084	352532	27482	19071	15898	12331	8677	5024	2531	1332	923	877	1230	2907	6946	2364	0	822960	1517098	1274477	1010605	766014	291721	433187	278579	178442	112268
CB4855	Princeton1-PL_3-CB4855	UNKNOWN	CB4855	20014002	17309093	0	235.89	19543163	395486	19946	10727	8040	6326	4546	2791	1619	704	355	306	815	3430	4158	5257	6333	1165815	972118	775544	581123	478458	311664	255211	199860	146362	114811
CB4855	Princeton1-PL_4-CB4855	UNKNOWN	CB4855	6392071	5643406	0	238.955	6238514	127469	6742	3741	2773	2166	1570	1004	562	325	198	151	427	2254	2126	1441	608	404427	338937	271554	202295	166036	109296	88319	67039	46434	33678
CB4856	BGI1-RET1-CB4856	UNKNOWN	CB4856	12717724	12523575	0	182.379	12341201	257751	26653	22501	19662	16596	12519	7645	3726	1657	656	558	731	980	3065	1823	0	619892	1159005	997997	802550	603156	223386	328802	205809	127746	75386
CB4856	BGI2-RET1-CB4856	UNKNOWN	CB4856	10848541	10681196	0	183.217	10528819	219045	22865	19021	16833	13618	10503	6445	3003	1431	599	448	634	959	2773	1545	0	527873	985904	848771	682471	513584	190586	279311	175325	108214	64763
CB4856	BGI3-RET1a-CB4856	UNKNOWN	CB4856	39259752	38656506	0	148.99	38133289	801312	78801	63579	55903	45728	34022	20331	9708	4099	1711	1089	1315	1706	4798	2361	0	1827593	3370209	2850528	2262245	1669084	618363	903656	565122	344096	203524
CB4856	MMP-ML_1-CB4856	UNKNOWN	CB4856	0	0	0	UNKNOWN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CB4856	Princeton2-P-CB4856	UNKNOWN	CB4856	35266922	34682397	0	153.705	34256717	718230	70424	56959	49414	40807	30050	18295	8751	3835	1588	1114	1308	1728	4996	2706	0	1642565	3033843	2574447	2050105	1520864	564795	830770	521045	321826	193604
CB4856	Rockman-R106.3-CB4856	UNKNOWN	CB4856	30386335	28664356	0	94.7598	29649014	630777	35143	19793	15352	12094	8596	5552	2869	1363	609	319	465	1055	1075	975	1284	1930934	1618960	1292992	955099	724146	464014	347000	235433	145651	88863
CB4856	Rockman-R999.1-CB4856	UNKNOWN	CB4856	43553019	37316752	0	45.2989	42588965	840536	41993	23985	18214	13821	9974	5996	3005	1301	546	300	406	1412	1215	869	481	2483619	2435946	2070390	1519502	1455485	1024411	763969	620430	393031	253323
CB4856	UChicago-EA1-CB4856	UNKNOWN	CB4856	12856705	12612971	0	109.826	12525766	283615	16202	8347	5954	4395	3316	2170	1139	543	243	139	167	388	331	866	3124	883326	754305	615152	470221	350662	249316	163364	109150	69067	45263
CB4856	UChicago2-L007-CB4856	UNKNOWN	CB4856	9984231	9758755	0	101.748	9718235	225676	13642	7609	5349	4037	2997	1937	1002	452	202	89	75	71	134	347	2377	703573	606547	494821	380919	278293	197003	129823	85460	53296	34845
CB4857	BGI1-RET6-ECA250	UNKNOWN	CB4857	4550136	4513569	0	207.969	4423957	93345	7934	6002	5144	4017	3012	1695	868	445	244	232	483	621	1317	820	0	204612	368528	304145	236609	171839	62053	88119	52606	30869	17377
CB4857	BGI2-RET6-ECA250	UNKNOWN	CB4857	12208330	12101750	0	158.535	11881564	245679	20671	14891	12785	9982	7307	4394	2293	1095	446	332	730	1035	3271	1855	0	560112	1026838	868162	688346	514606	190337	279775	174079	108000	64694
CB4857	BGI3-RET1b-ECA249	UNKNOWN	CB4857	28293353	28035732	0	150.214	27497294	581094	54345	40958	35855	29166	21900	13356	7029	3361	1335	810	789	1158	3321	1582	0	1282709	2350923	1964301	1555287	1151218	425321	623312	385290	238226	142718
CB4857	BGI3-RET6b-ECA250	UNKNOWN	CB4857	27269232	27031118	0	136.091	26545779	548099	46360	33710	28449	22714	16317	9649	5023	2328	1155	821	1008	2048	4100	1672	0	1224451	2219919	1848709	1453401	1075787	401964	592388	371589	231551	140481
CB4857	UChicago-EA1-ECA249	UNKNOWN	CB4857	15174431	15063157	0	97.4088	14777162	339436	20169	10324	7511	5938	4405	2886	1681	805	366	197	133	294	276	728	2120	1059578	905169	731606	560439	414472	289908	185813	121859	76021	50071
CB4857	UChicago2-L007-ECA249	UNKNOWN	CB4857	15074613	14943961	0	95.9201	14663129	346562	22629	12144	8820	6716	5044	3238	1882	917	410	167	109	116	177	389	2164	1083132	935825	759955	584370	424169	297402	190847	122655	75470	50336
CB4858	BGI1-RET3-ECA252	UNKNOWN	CB4858	15818157	15765618	0	152.233	15384098	318969	28163	21346	19022	15280	11117	6223	3138	1427	588	410	804	1089	4096	2387	0	742912	1376318	1170493	933006	699686	258276	377482	236543	144927	84867
CB4858	BGI2-RET3-ECA252	UNKNOWN	CB4858	18360808	18298001	0	145.412	17859248	368759	32545	24725	22002	17847	13159	7260	3655	1703	684	488	835	1165	4309	2424	0	862098	1599571	1366030	1089757	816447	303888	444528	280306	171627	102525
CB4858	BGI3-RET3b-ECA252	UNKNOWN	CB4858	28199012	28104212	0	123.247	27439238	570948	48670	36003	31893	25445	18398	10527	5398	2427	943	551	477	1383	4544	2167	0	1305581	2411910	2042219	1629022	1214253	453469	661190	419240	257936	155036
CB4932	BGI1-RET7-CB4932	UNKNOWN	CB4932	16738454	16659364	0	122.198	16304784	335715	26532	18880	16117	12661	8743	4816	2382	1065	421	328	642	791	2827	1750	0	751314	1370767	1137631	886523	650272	238900	346734	211845	128526	76317
CB4932	BGI2-RET7-CB4932	UNKNOWN	CB4932	15304878	15232407	0	127.675	14905894	307674	24391	17390	15062	11776	8128	4716	2269	1057	443	289	519	788	2788	1694	0	689953	1257399	1047045	820137	602014	223013	324892	198491	121787	73541
CB4932	BGI3-RET7b-CB4932	UNKNOWN	CB4932	25116033	24996065	0	116.065	24456968	505939	40613	29187	25533	20458	14390	8459	4144	1832	726	460	422	1130	3743	2029	0	1145803	2112999	1778251	1406874	1041466	388450	570509	354412	219877	134024
CB4932	Princeton1-PL_13-CB4932	UNKNOWN	CB4932	16680126	16582112	0	107.993	16281199	348956	17843	9461	7126	5517	3807	2200	1191	501	216	105	136	484	615	429	340	942222	741886	557408	392924	271215	145181	92911	51693	27580	15784
CB4932	Princeton1-PL_14-CB4932	UNKNOWN	CB4932	37300946	37074975	0	104.707	36380907	799858	41386	21969	16332	12675	9001	5295	2979	1413	666	275	266	695	880	2138	4211	2391396	1985237	1549123	1135298	799211	500714	315982	190681	109754	66271
CX11254	BGI1-RET3-CX11254	UNKNOWN	CX11254	15151439	14909814	0	143.35	14755059	304900	24248	17137	14146	11065	7787	4674	2336	1055	476	375	846	1050	3900	2385	0	687626	1257081	1065050	847293	630226	232446	342917	215096	132294	79489
CX11254	BGI2-RET3-CX11254	UNKNOWN	CX11254	18014961	17720297	0	137.939	17544432	361585	28953	20435	17013	13265	9557	5527	2840	1386	572	484	987	1149	4277	2499	0	816662	1500952	1270333	1012497	754388	279712	413126	261273	163521	99890
CX11254	BGI3-RET3b-CX11254	UNKNOWN	CX11254	25685563	25267073	0	113.115	25023211	518732	40408	27405	22820	17909	12651	7625	3833	1804	703	493	484	1318	4115	2052	0	1150409	2102473	1766487	1404906	1044113	389967	577366	365935	228680	140134
CX11262	BGI2-RET6-CX11262	UNKNOWN	CX11262	13040289	12880354	0	113.794	12715939	264515	18583	11438	8708	6494	4522	2625	1278	654	277	186	411	625	2468	1566	0	557132	1001167	825794	642264	468899	172450	253900	157195	96542	57323
CX11262	BGI3-RET6a-CX11262	UNKNOWN	CX11262	34419491	33987108	0	88.5969	33569699	700118	48611	30314	22939	16638	11547	6631	3164	1502	775	614	735	1518	3257	1429	0	1428326	2547597	2081334	1608484	1167754	434434	640583	404973	250260	151990
CX11264	BGI1-RET5-CX11264	UNKNOWN	CX11264	18097093	17884949	0	194.466	17574481	375000	34533	27108	23568	19213	14018	8554	4069	1915	901	756	1570	2087	6508	2812	0	875336	1606945	1358763	1071877	792866	292171	423473	259122	157053	91907
CX11264	BGI2-RET5-CX11264	UNKNOWN	CX11264	15212291	15034467	0	206.528	14769257	315303	29539	23374	20163	16255	11887	7317	3665	1647	805	707	1356	2041	6367	2608	0	736565	1356491	1149501	909780	677812	250732	365042	224334	137765	81555
CX11264	BGI3-RET5a-CX11264	UNKNOWN	CX11264	33476412	33074206	0	155.506	32527584	693635	63275	48450	42108	33546	25128	14986	7112	3173	1416	910	971	2446	8422	3250	0	1596583	2930303	2472492	1955544	1448842	536620	787399	487440	297446	177209
CX11264	Princeton1-PL_15-CX11264	UNKNOWN	CX11264	12727215	12551822	0	251.358	12419501	264284	13954	7673	5677	4308	3076	1750	959	421	203	146	344	1551	1585	1157	626	645207	503919	371818	241746	170383	81176	51268	28127	13652	7337
CX11264	Princeton1-PL_16-CX11264	UNKNOWN	CX11264	49500972	48786381	0	134.217	48272608	1058665	55092	30195	22103	16897	12417	7780	4334	2209	1078	605	474	672	1143	4105	10595	3220931	2681053	2099062	1541612	1093961	684170	436590	261851	150527	90303
CX11271	BGI1-RET7-CX11271	UNKNOWN	CX11271	14065562	13993252	0	112.848	13738337	277736	16525	9281	6633	4686	2966	1663	809	341	209	238	603	766	3049	1720	0	574315	1017406	818707	622451	443343	159026	225258	135803	79428	44872
CX11271	BGI2-RET7-CX11271	UNKNOWN	CX11271	12646870	12581529	0	114.876	12353448	248047	15080	8494	6036	4303	2661	1624	690	324	183	191	472	705	2969	1643	0	519239	921755	746479	569616	408013	146132	210168	126638	75558	42529
CX11271	BGI3-RET7a-CX11271	UNKNOWN	CX11271	21480507	21368174	0	101.186	20981117	422179	25469	14819	10900	7603	4942	2700	1365	749	495	494	707	1487	3894	1587	0	884143	1569230	1273052	976453	703537	259906	376159	232221	141360	83683
CX11271	Princeton1-PL_21-CX11271	UNKNOWN	CX11271	21578449	21299015	0	156.399	21057809	445598	24195	13083	9568	7176	4907	3016	1626	757	423	274	449	2098	2398	3878	1194	1424324	1184281	925352	662843	474907	270278	176406	103688	58220	37800
CX11276	BGI1-RET2-CX11276	UNKNOWN	CX11276	16226272	16033589	0	152.182	15778239	328947	30276	22610	19776	15767	11394	6916	3421	1471	680	398	615	855	3032	1875	0	738489	1351991	1133975	897861	668117	247434	363821	224084	137411	82424
CX11276	BGI2-RET2-CX11276	UNKNOWN	CX11276	15462943	15279422	0	143.582	15040272	313299	28278	21047	18092	14399	10572	6049	3002	1276	524	389	533	827	2709	1675	0	701252	1282241	1070719	843234	624806	230774	339308	210632	130192	78058
CX11276	BGI3-RET2b-CX11276	UNKNOWN	CX11276	24926609	24603966	0	128.79	24239011	506696	46521	34779	30374	24667	17826	10764	5349	2428	957	521	505	1139	3379	1693	0	1149356	2131542	1811285	1450364	1091149	410332	609001	385012	243599	148849
CX11285	BGI1-RET2-CX11285	UNKNOWN	CX11285	18931622	18717565	0	87.466	18484973	372682	23831	14433	11241	8301	5494	3213	1431	658	274	197	372	565	2281	1676	0	799504	1426860	1162740	893947	646491	235624	341872	210929	127137	74485
CX11285	BGI2-RET2-CX11285	UNKNOWN	CX11285	17930249	17726512	0	83.99	17512805	349883	22260	13098	10112	7495	4977	2876	1310	610	240	172	360	544	2068	1439	0	755746	1347889	1099845	841565	606388	221982	320526	198875	119724	69824
CX11285	BGI3-RET2a-CX11285	UNKNOWN	CX11285	65315602	64495473	0	60.0339	63802656	1277637	79366	48281	36380	26974	18414	10435	5085	2103	887	477	425	1002	3648	1832	0	2781138	4990229	4081298	3152786	2281884	837899	1219350	763787	466591	275894
CX11285	Princeton1-PL_10-CX11285	UNKNOWN	CX11285	18694140	18464138	0	104.239	18247971	391179	20105	10585	7792	5929	4113	2409	1220	586	261	105	141	468	533	428	315	1039409	825489	613119	421726	292488	156184	100170	56103	29699	16701
CX11285	Princeton1-PL_11-CX11285	UNKNOWN	CX11285	45537078	44986167	0	114.637	44419630	971288	51444	26648	19856	14872	10614	6568	3701	1753	778	328	294	841	1167	2607	4689	2820231	2304186	1755776	1270126	888875	545031	341213	200653	114799	67964
CX11292	BGI1-RET4-CX11292	UNKNOWN	CX11292	13922493	13814211	0	184.262	13550077	282839	22793	15630	13408	10126	7360	4216	1989	1052	535	507	1426	1518	5784	3233	0	636538	1163945	979107	772445	580296	214995	316232	196070	122559	73743
CX11292	BGI2-RET4-CX11292	UNKNOWN	CX11292	13159195	13055772	0	196.091	12807054	266412	21626	14796	12593	9579	6824	3985	2014	1062	550	557	1199	1746	6034	3164	0	597905	1095890	921689	726114	546546	202650	298696	186060	116564	71799
CX11292	BGI3-RET4b-CX11292	UNKNOWN	CX11292	23330048	23141922	0	152.735	22702360	472668	40339	28696	24173	18624	13304	8058	3965	2156	1209	928	1326	2918	6948	2376	0	1076117	1984111	1686701	1346927	1022983	392231	589089	381583	243359	155441
