isotype	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9
AB1	BGI1-RET2-AB1	UNKNOWN	AB1	21494695	21358863	0	137.866	20895387	443320	40428	29625	26303	21256	15306	9130	4610	2105	840	557	565	669	2840	1754	0	984146	1825052	1523911	1200497	881883	328468	481958	297484	184060	113404
AB1	BGI2-RET2-AB1	UNKNOWN	AB1	20785253	20653202	0	130.167	20214110	425051	38646	28352	24631	19654	14071	8370	4189	1903	788	490	501	650	2361	1486	0	946721	1755197	1458131	1144923	839626	312738	457292	281429	174193	106982
AB1	BGI3-RET2b-AB1	UNKNOWN	AB1	36624115	36377762	0	119.842	35608408	756073	68782	49549	43712	35655	25771	15614	8068	3597	1478	852	584	892	3378	1702	0	1692420	3154565	2669392	2128754	1585844	596885	882920	554458	350132	221955
AB1	MMP-ML_2-AB1	UNKNOWN	AB1	4323721	4255024	0	75.0596	4221888	88493	4558	2506	1893	1447	1047	680	337	180	105	62	78	80	80	121	166	304569	257967	204089	151931	107712	74320	47920	30438	19389	12590
AB1	MMP-ML_3-AB1	UNKNOWN	AB1	6790142	6704454	0	79.389	6629299	139193	7215	3942	3138	2377	1735	1035	573	349	194	104	92	113	145	219	419	489160	414307	329289	245289	175632	119835	77380	49260	30605	20090
AB1	MMP-ML_5-AB1	UNKNOWN	AB1	3701135	3657061	0	81.2913	3612450	76392	4123	2342	1737	1271	987	544	303	150	77	44	42	38	64	228	343	267603	228536	181482	134793	96857	66238	42519	26882	16837	10952
AB1	MMP-ML_6-AB1	UNKNOWN	AB1	4455339	4390611	0	78.4443	4348923	92131	4774	2602	2042	1600	1139	650	398	198	87	49	55	56	82	212	341	321825	273357	217213	162095	116140	80075	51615	32593	20347	13283
AB1	MMP-ML_7-AB1	UNKNOWN	AB1	8044605	7928808	0	74.4685	7854974	164585	8532	4629	3699	2645	1970	1154	631	309	151	79	71	94	164	380	538	578589	491176	388261	289132	205712	141136	90819	57371	35585	23061
AB1	Rockman-R096.2-AB1	UNKNOWN	AB1	10979110	10798855	0	130.507	10713551	225802	12861	7191	5668	4533	3196	1898	1151	516	263	141	178	596	621	532	412	706360	580798	450571	317814	224436	125170	85826	51200	29307	16865
AB4	BGI1-RET2-AB4	UNKNOWN	AB4	18446112	18287833	0	201.915	17927252	376511	34664	25487	21919	17500	12840	7754	4065	1948	996	730	1431	2101	7687	3227	0	847844	1565007	1313303	1037587	780317	292167	433042	266662	165524	101462
AB4	BGI2-RET2-AB4	UNKNOWN	AB4	17944894	17790934	0	192.236	17447098	365087	33437	24129	20395	16117	11721	7165	3651	1805	850	675	1275	2043	6638	2808	0	820200	1507489	1258284	989682	738042	274473	405459	249299	153998	93965
AB4	BGI3-RET2a-AB4	UNKNOWN	AB4	29509775	29242572	0	163.776	28686817	605067	55064	40060	34488	27607	20756	12577	6156	3072	1317	865	1071	2424	9189	3245	0	1361896	2529440	2135316	1700951	1281122	481743	717714	447759	281765	174373
