previous-name	filename-slug	ECA-name	rename command	sed-inplace														
CB4851(CGC)	CB4851_CGC	ECA243	find *.fq.gz -type f | rename -n -s CB4851_CGC ECA243	"gawk '{ gsub(""CB4851_CGC"",""ECA243"" , $0); print }'"					gawk	'{	"gsub(""CB4856"","	"ECA243,$0);"	print}'	seq.raw.tsv	|	grep	'ECA243'	-
CB4851(UK)	CB4851_UK	ECA244	find *.fq.gz -type f | rename -n -s CB4851_UK ECA244	"gawk '{ gsub(""CB4851_UK"",""ECA244"" , $0); print }'"														
CB4853(CGC)	CB4853_CGC	ECA245	find *.fq.gz -type f | rename -n -s CB4853_CGC  ECA245	"gawk '{ gsub(""CB4853_CGC"",""ECA245"" , $0); print }'"														
CB4853(UK)	CB4853_UK	ECA246	find *.fq.gz -type f | rename -n -s CB4853_UK  ECA246	"gawk '{ gsub(""CB4853_UK"",""ECA246"" , $0); print }'"														
CB4855(CGC)	CB4855_CGC	ECA247	find *.fq.gz -type f | rename -n -s CB4855_CGC  ECA247	"gawk '{ gsub(""CB4855_CGC"",""ECA247"" , $0); print }'"														
CB4855(UK)	CB4855_UK	ECA248	find *.fq.gz -type f | rename -n -s CB4855_UK  ECA248	"gawk '{ gsub(""CB4855_UK"",""ECA248"" , $0); print }'"														
CB4856	CB4856	CB4856		"gawk '{ gsub(""CB4856"",""CB4856"" , $0); print }'"														
CB4856_CGC3	CB4856_CGC3	CB4856	find *.fq.gz -type f | rename -n -s CB4856_CGC3 CB4856	"gawk '{ gsub(""CB4856_CGC3"",""CB4856"" , $0); print }'"														
CB4856_CGC_3	CB4856_CGC_3	CB4856	find *.fq.gz -type f | rename -n -s CB4856_CGC_3 CB4856	"gawk '{ gsub(""CB4856_CGC_3"",""CB4856"" , $0); print }'"														
CB4857(CGC)	CB4857_CGC	ECA249	find *.fq.gz -type f | rename -n -s CB4857_CGC  ECA249	"gawk '{ gsub(""CB4857_CGC"",""ECA249"" , $0); print }'"														
CB4857(UK)	CB4857_UK	ECA250	find *.fq.gz -type f | rename -n -s CB4857_UK  ECA250	"gawk '{ gsub(""CB4857_UK"",""ECA250"" , $0); print }'"														
CB4858(CGC)	CB4858_CGC	ECA251	find *.fq.gz -type f | rename -n -s CB4858_CGC  ECA251	"gawk '{ gsub(""CB4858_CGC"",""ECA251"" , $0); print }'"														
CB4858(UK)	CB4858_UK	ECA252	find *.fq.gz -type f | rename -n -s CB4858_UK  ECA252	"gawk '{ gsub(""CB4858_UK"",""ECA252"" , $0); print }'"														
N2CGC	N2_CGC	ECA253	find *.fq.gz -type f | rename -n -s N2_CGC  ECA253	"gawk '{ gsub(""N2_CGC"",""ECA253"" , $0); print }'"														
N2Baer#1	N2_Baer	ECA254	find *.fq.gz -type f | rename -n -s N2_Baer ECA254	"gawk '{ gsub(""N2_Baer"",""ECA254"" , $0); print }'"														
N2Baer#2	N2_Baer2	ECA255	find *.fq.gz -type f | rename -n -s N2_Baer2  ECA255	"gawk '{ gsub(""N2_Baer2"",""ECA255"" , $0); print }'"														
N2HRH	N2_HRH	N2	find *.fq.gz -type f | rename -n -s N2_HRH  N2	"gawk '{ gsub(""N2_HRH"",""N2"" , $0); print }'"														
N2Kammenga	N2_Kammenga	ECA257	find *.fq.gz -type f | rename -n -s N2_Kammenga ECA257	"gawk '{ gsub(""N2_Kammenga"",""ECA257"" , $0); print }'"														
PB306Baer	PB306_Baer	ECA258	find *.fq.gz -type f | rename -n -s PB306_Baer  ECA258	"gawk '{ gsub(""PB306_Baer"",""ECA258"" , $0); print }'"														
PB306CGC	PB306_CGC	ECA259	find *.fq.gz -type f | rename -n -s PB306_CGC  ECA259	"gawk '{ gsub(""PB306_CGC"",""ECA259"" , $0); print }'"														
CB4856Kammenga	CB4856_Kammenga	ECA260	find *.fq.gz -type f | rename -n -s CB4856_Kammenga  ECA260	"gawk '{ gsub(""CB4856_Kammenga"",""ECA260"" , $0); print }'"														
PB800CGC	PB800_CGC	PB800	find *.fq.gz -type f | rename -n -s PB800_CGC  PB800	"gawk '{ gsub(""PB800_CGC"",""PB800"" , $0); print }'"														
PB800Baer	PB800_Baer	ECA261	find *.fq.gz -type f | rename -n -s PB800_Baer  ECA261	"gawk '{ gsub(""PB800_Baer"",""ECA261"" , $0); print }'"														
HK104CGC	HK104_CGC	HK104	find *.fq.gz -type f | rename -n -s HK104_CGC  HK104	"gawk '{ gsub(""HK104_CGC"",""HK104"" , $0); print }'"														
HK104Baer	HK104_Baer	ECA262	find *.fq.gz -type f | rename -n -s HK104_Baer  ECA262	"gawk '{ gsub(""HK104_Baer"",""ECA262"" , $0); print }'"														
HK104Baird	HK104_Baird	ECA263	find *.fq.gz -type f | rename -n -s HK104_Baird  ECA263	"gawk '{ gsub(""HK104_Baird"",""ECA263"" , $0); print }'"														
AF16CGC	AF16_CGC	AF16	find *.fq.gz -type f | rename -n -s AF16_CGC  AF16	"gawk '{ gsub(""AF16_CGC"",""AF16"" , $0); print }'"														
AF16Baird	AF16_Baird	ECA264	find *.fq.gz -type f | rename -n -s AF16_Baird  ECA264	"gawk '{ gsub(""AF16_Baird"",""ECA264"" , $0); print }'"														
