sample_i	sample_j	discordance	number_of_sites	concordance
AB2	AB1	97905	2882849	0.966039
AB3	AB1	87041	2732239	0.968143
AB3	AB2	541	2752339	0.999803
AB4	AB1	101464	2908179	0.965111
AB4	AB2	587	2921472	0.999799
AB4	AB3	389	2763180	0.999859
BRC20067	AB1	70925	2686927	0.973604
BRC20067	AB2	53491	2642994	0.979761
BRC20067	AB3	49849	2566424	0.980576
BRC20067	AB4	55890	2661763	0.979003
BRC20113	AB1	86652	2920172	0.970326
BRC20113	AB2	62787	2877528	0.97818
BRC20113	AB3	55968	2735445	0.97954
BRC20113	AB4	65579	2899962	0.977386
BRC20113	BRC20067	419	2721939	0.999846
BRC20231	AB1	187615	2774103	0.932369
BRC20231	AB2	167948	2756956	0.939082
BRC20231	AB3	156446	2625163	0.940405
BRC20231	AB4	170473	2777274	0.938619
BRC20231	BRC20067	158066	2568855	0.938468
BRC20231	BRC20113	176836	2772379	0.936215
BRC20263	AB1	128127	2839578	0.954878
BRC20263	AB2	94901	2817429	0.966316
BRC20263	AB3	86286	2679327	0.967796
BRC20263	AB4	97238	2839392	0.965754
BRC20263	BRC20067	82489	2626860	0.968598
BRC20263	BRC20113	92680	2850038	0.967481
BRC20263	BRC20231	171199	2738977	0.937495
CB4852	AB1	57302	2968042	0.980694
CB4852	AB2	76373	2909557	0.973751
CB4852	AB3	67443	2755290	0.975522
CB4852	AB4	80243	2938454	0.972692
CB4852	BRC20067	39774	2718133	0.985367
CB4852	BRC20113	48213	2960298	0.983713
CB4852	BRC20231	181930	2791910	0.934837
CB4852	BRC20263	109048	2864720	0.961934
CB4854	AB1	86154	2886874	0.970157
CB4854	AB2	78498	2831524	0.972277
CB4854	AB3	72399	2736885	0.973547
CB4854	AB4	81695	2854473	0.97138
CB4854	BRC20067	54567	2685962	0.979684
CB4854	BRC20113	63539	2880962	0.977945
CB4854	BRC20231	181524	2727719	0.933452
CB4854	BRC20263	108050	2796581	0.961364
CB4854	CB4852	68041	2911839	0.976633
CB4856	AB1	206532	2818488	0.926722
CB4856	AB2	198045	2788639	0.928981
CB4856	AB3	181590	2640102	0.931219
CB4856	AB4	202157	2812624	0.928125
CB4856	BRC20067	173302	2574218	0.932678
CB4856	BRC20113	198317	2799138	0.929151
CB4856	BRC20231	196520	2713532	0.927578
CB4856	BRC20263	185753	2769232	0.932923
CB4856	CB4852	201017	2839804	0.929214
CB4856	CB4854	196457	2764538	0.928937
CB4932	AB1	83070	2945235	0.971795
CB4932	AB2	125732	2876453	0.956289
CB4932	AB3	111256	2724845	0.95917
CB4932	AB4	131066	2905837	0.954896
CB4932	BRC20067	96744	2677496	0.963868
CB4932	BRC20113	117043	2914969	0.959848
CB4932	BRC20231	182071	2783638	0.934592
CB4932	BRC20263	149476	2846171	0.947482
CB4932	CB4852	96097	2964147	0.96758
CB4932	CB4854	112816	2878614	0.960809
CB4932	CB4856	193891	2836553	0.931646
CX11254	AB1	129677	2699599	0.951964
CX11254	AB2	89288	2695373	0.966874
CX11254	AB3	84735	2606447	0.96749
CX11254	AB4	91291	2715835	0.966386
CX11254	BRC20067	102556	2571171	0.960113
CX11254	BRC20113	110998	2696914	0.958843
CX11254	BRC20231	149200	2627991	0.943227
CX11254	BRC20263	111277	2672365	0.95836
CX11254	CB4852	120041	2715886	0.9558
CX11254	CB4854	116811	2693246	0.956628
CX11254	CB4856	180427	2639321	0.931639
CX11254	CB4932	132142	2709006	0.951221
CX11262	AB1	141048	2755892	0.948819
CX11262	AB2	86172	2754427	0.968715
CX11262	AB3	79605	2642446	0.969875
CX11262	AB4	87717	2774379	0.968383
CX11262	BRC20067	107412	2586160	0.958467
CX11262	BRC20113	119634	2753496	0.956552
CX11262	BRC20231	147291	2676898	0.944977
CX11262	BRC20263	114629	2729310	0.958001
CX11262	CB4852	124873	2776280	0.955021
CX11262	CB4854	129720	2735785	0.952584
CX11262	CB4856	180011	2696748	0.933249
CX11262	CB4932	154007	2759881	0.944198
CX11262	CX11254	69891	2688309	0.974002
CX11264	AB1	159288	2860707	0.944319
CX11264	AB2	102407	2855461	0.964136
CX11264	AB3	93103	2703308	0.96556
CX11264	AB4	104192	2883803	0.96387
CX11264	BRC20067	120801	2611699	0.953746
CX11264	BRC20113	140153	2841802	0.950682
CX11264	BRC20231	154982	2751077	0.943665
CX11264	BRC20263	136915	2808022	0.951241
CX11264	CB4852	147802	2881636	0.948709
CX11264	CB4854	149847	2801167	0.946506
CX11264	CB4856	191972	2794802	0.931311
CX11264	CB4932	169269	2866962	0.940959
CX11264	CX11254	59744	2712695	0.977976
CX11264	CX11262	50375	2779091	0.981874
CX11271	AB1	97761	2937064	0.966715
CX11271	AB2	64168	2891413	0.977807
CX11271	AB3	56770	2738822	0.979272
CX11271	AB4	67371	2916022	0.976896
CX11271	BRC20067	63423	2688269	0.976407
CX11271	BRC20113	77504	2923468	0.973489
CX11271	BRC20231	175438	2784279	0.93699
CX11271	BRC20263	100399	2854685	0.96483
CX11271	CB4852	88904	2958132	0.969946
CX11271	CB4854	92712	2879334	0.967801
CX11271	CB4856	199044	2822687	0.929484
CX11271	CB4932	106256	2948443	0.963962
CX11271	CX11254	96779	2721691	0.964442
CX11271	CX11262	115400	2766607	0.958288
CX11271	CX11264	127846	2872054	0.955486
CX11276	AB1	114462	2668872	0.957112
CX11276	AB2	68127	2669542	0.97448
CX11276	AB3	64129	2592465	0.975263
CX11276	AB4	70011	2688323	0.973957
CX11276	BRC20067	83563	2566004	0.967435
CX11276	BRC20113	90929	2674722	0.966004
CX11276	BRC20231	167954	2588996	0.935128
CX11276	BRC20263	105420	2644652	0.960138
CX11276	CB4852	97042	2691886	0.96395
CX11276	CB4854	104741	2671183	0.960789
CX11276	CB4856	173676	2615938	0.933609
CX11276	CB4932	110226	2685586	0.958956
CX11276	CX11254	82263	2643629	0.968883
CX11276	CX11262	105442	2642140	0.960092
CX11276	CX11264	105514	2659844	0.960331
CX11276	CX11271	67197	2695166	0.975068
CX11285	AB1	122369	2857004	0.957169
CX11285	AB2	95733	2848114	0.966387
CX11285	AB3	87873	2694515	0.967388
CX11285	AB4	97209	2874081	0.966177
CX11285	BRC20067	94154	2606486	0.963877
CX11285	BRC20113	109388	2836943	0.961442
CX11285	BRC20231	174468	2736958	0.936255
CX11285	BRC20263	123325	2802002	0.955987
CX11285	CB4852	125658	2874904	0.956291
CX11285	CB4854	128446	2795894	0.954059
