isotype_count	isotype
1	AB1
2	AB4
3	BRC20067
4	CB4851
5	CB4852
6	CB4853
7	CB4854
8	CB4855
9	CB4856
10	CB4857
11	CB4858
12	CB4932
13	CX11254
14	CX11262
15	CX11264
16	CX11271
17	CX11276
18	CX11285
19	CX11292
20	CX11307
21	CX11314
22	CX11315
23	DL200
24	DL226
25	DL238
26	ECA36
27	ED3005
28	ED3011
29	ED3012
30	ED3017
31	ED3040
32	ED3046
33	ED3048
34	ED3049
35	ED3052
36	ED3073
37	ED3077
38	EG4347
39	EG4349
40	EG4724
41	EG4725
42	EG4946
43	GXW1
44	JT11398
45	JU1088
46	JU1172
47	JU1200
48	JU1212
49	JU1213
50	JU1242
51	JU1246
52	JU1395
53	JU1400
54	JU1409
55	JU1440
56	JU1491
57	JU1530
58	JU1568
59	JU1580
60	JU1581
61	JU1586
62	JU1652
63	JU1896
64	JU2001
65	JU2007
66	JU2316
67	JU2464
68	JU2466
69	JU2513
70	JU2519
71	JU2522
72	JU2526
73	JU258
74	JU310
75	JU311
76	JU323
77	JU346
78	JU360
79	JU367
80	JU393
81	JU394
82	JU397
83	JU406
84	JU440
85	JU561
86	JU642
87	JU751
88	JU774
89	JU775
90	JU778
91	JU782
92	JU792
93	JU830
94	JU847
95	KR314
96	LKC34
97	LSJ1
98	MY1
99	MY10
100	MY16
101	MY18
102	MY23
103	N2
104	NIC1
105	NIC166
106	NIC195
107	NIC199
108	NIC2
109	NIC207
110	NIC231
111	NIC236
112	NIC242
113	NIC251
114	NIC252
115	NIC255
116	NIC256
117	NIC258
118	NIC259
119	NIC260
120	NIC261
121	NIC262
122	NIC265
123	NIC266
124	NIC267
125	NIC268
126	NIC269
127	NIC271
128	NIC272
129	NIC274
130	NIC275
131	NIC276
132	NIC277
133	NIC3
134	PB303
135	PB306
136	PS2025
137	PX179
138	QG2075
139	QG536
140	QG556
141	QG557
142	QW947
143	QX1211
144	QX1212
145	QX1233
146	QX1791
147	QX1792
148	QX1793
149	QX1794
150	RC301
151	WN2001
152	WN2002
