strain	Isotype	iso_group	n
JU2131	NA	79	179
JU2141	NA	80	179
JU2234	NA	81	179
JU2250	NA	82	179
JU2257	NA	83	179
JU2287	NA	83	179
JU2460	NA	85	179
JU2527	NA	85	179
JU2478	NA	88	179
JU2534	NA	93	179
JU2565	NA	94	179
JU2566	NA	95	179
JU2570	NA	96	179
JU2572	NA	97	179
JU2575	NA	98	179
JU2576	NA	99	179
JU2578	NA	100	179
JU2581	NA	102	179
JU2586	NA	103	179
JU2587	NA	104	179
JU2592	NA	105	179
JU2593	NA	106	179
JU2611	NA	107	179
MY2142	NA	107	179
MY2144	NA	107	179
MY2198	NA	107	179
MY2208	NA	107	179
MY2282	NA	107	179
MY2294	NA	107	179
MY2434	NA	107	179
MY2443	NA	107	179
MY2491	NA	107	179
MY2573	NA	107	179
MY559	NA	107	179
MY579	NA	107	179
MY710	NA	107	179
JU2800	NA	109	179
JU2802	NA	109	179
JU2811	NA	110	179
JU2825	NA	111	179
JU2828	NA	112	179
JU2829	NA	112	179
JU2830	NA	112	179
JU2838	NA	113	179
JU2841	NA	114	179
JU2853	NA	115	179
JU2862	NA	116	179
JU2866	NA	117	179
JU2878	NA	118	179
JU2879	NA	119	179
MY2481	NA	120	179
JU345	NA	122	179
MY2004	NA	147	179
MY2011	NA	147	179
MY2014	NA	147	179
MY2050	NA	147	179
MY2054	NA	147	179
MY2121	NA	147	179
MY2199	NA	147	179
MY2339	NA	147	179
MY2502	NA	147	179
MY2541	NA	147	179
MY2579	NA	147	179
MY570	NA	147	179
MY713	NA	147	179
MY792	NA	147	179
MY819	NA	147	179
MY864	NA	147	179
MY965	NA	147	179
MY2022	NA	148	179
MY2630	NA	148	179
MY2636	NA	148	179
MY2640	NA	148	179
MY2681	NA	148	179
MY2691	NA	148	179
MY882	NA	148	179
MY2042	NA	149	179
MY2138	NA	149	179
MY2406	NA	149	179
MY2688	NA	149	179
MY589	NA	149	179
MY741	NA	149	179
MY920	NA	149	179
MY2109	NA	150	179
MY2741	NA	150	179
MY2143	NA	151	179
MY2147	NA	151	179
JU2611	NA	152	179
MY2142	NA	152	179
MY2144	NA	152	179
MY2198	NA	152	179
MY2282	NA	152	179
MY2294	NA	152	179
MY2434	NA	152	179
MY2443	NA	152	179
MY2491	NA	152	179
MY2573	NA	152	179
MY559	NA	152	179
MY579	NA	152	179
MY710	NA	152	179
JU2611	NA	153	179
MY2142	NA	153	179
MY2198	NA	153	179
MY2208	NA	153	179
MY2282	NA	153	179
MY2294	NA	153	179
MY2434	NA	153	179
MY2443	NA	153	179
MY2491	NA	153	179
MY2573	NA	153	179
MY559	NA	153	179
MY579	NA	153	179
MY710	NA	153	179
