isotype	depth_of_coverage
AB1	116.647962958
AB4	226.757952437
BRC20067	33.7667685672
CB4851	122.471572342
CB4852	297.428222197
CB4853	179.166218648
CB4854	68.5903929088
CB4855	65.1870579741
CB4856	218.771944762
CB4857	96.5808579371
CB4858	56.5212256445
CB4932	116.819838365
CX11254	52.8209029557
CX11262	41.5691789757
CX11264	135.474587327
CX11271	66.3226010673
CX11276	50.2621371266
CX11285	166.272775069
CX11292	98.2887622321
CX11307	72.4117831689
CX11314	60.3123839492
CX11315	50.5462129407
DL200	37.7009679308
DL226	80.7011199056
DL238	128.774798619
ECA36	30.8474944275
ED3005	94.1043257002
ED3011	50.5172566119
ED3012	59.8250345628
ED3017	129.74666639
ED3040	162.405171345
ED3046	120.958343455
ED3048	83.2106715546
ED3049	147.811619972
ED3052	83.5053131581
ED3073	146.314404522
ED3077	102.133110261
EG4347	67.7243952946
EG4349	53.4463553239
EG4724	96.6692094574
EG4725	47.7245643804
EG4946	111.221730472
GXW1	98.3961294014
JT11398	63.8913067087
JU1088	96.43466328
JU1172	45.6512098585
JU1200	150.443387713
JU1212	41.8086723044
JU1213	61.9053261967
JU1242	60.7418038364
JU1246	55.7599381196
JU1395	21.1096337179
JU1400	114.508119989
JU1409	113.463598848
JU1440	54.5271573162
JU1491	115.165256424
JU1530	102.152197266
JU1568	67.2689286756
JU1580	151.061214561
JU1581	162.599702047
JU1586	125.494382145
JU1652	61.7222148295
JU1896	72.5537093509
JU2001	52.9050635689
JU2007	101.238089709
JU2316	23.7228201259
JU2464	108.258585867
JU2466	27.8950278812
JU2513	38.6607726705
JU2519	24.0962406458
JU2522	38.8153498399
JU2526	32.5706032067
JU258	127.197685487
JU310	146.640469758
JU311	176.172206279
JU312	27.5258392212
JU323	87.3512542443
JU346	93.1556563387
JU360	164.803595883
JU367	84.6606589561
JU393	42.5608629928
JU394	97.8133074792
JU397	62.1985966871
JU406	31.0665410956
JU440	68.1236968111
JU561	44.712751692
JU642	103.638693605
JU751	62.5652715068
JU774	82.1502512589
JU775	91.3668969036
JU778	88.2271776111
JU782	147.355998806
JU792	29.9778397572
JU830	63.2323796224
JU847	36.1135360018
KR314	89.1144396537
LKC34	96.6327374137
LSJ1	111.267175068
MY10	71.7335080357
MY16	153.231777158
MY18	139.759579497
MY1	186.608686645
MY23	157.736093491
N2	145.594787144
NIC166	38.791580336
NIC195	167.314430628
NIC199	85.7947731218
NIC1	68.387590826
NIC207	45.2603127616
NIC231	118.84148111
NIC236	75.4463988393
NIC242	34.8739232451
NIC251	36.4707799116
NIC252	27.7507429646
NIC255	31.6128062867
NIC256	52.311716441
NIC258	36.2429009393
NIC259	27.1369310481
NIC260	38.6679821923
NIC261	41.399804127
NIC262	31.4871791939
NIC265	27.6703822685
NIC266	33.4968915576
NIC267	77.1950151646
NIC268	38.2251301151
NIC269	45.0970314111
NIC271	33.4826505041
NIC272	95.9122508744
NIC275	27.8630341715
NIC276	26.4343396968
NIC277	35.3714879747
NIC2	70.3862731598
NIC3	119.502627659
PB303	65.2288005928
PB306	74.8972269331
PS2025	59.6428459827
PX179	87.9882967383
QG2075	30.3968411829
QG536	232.490180059
QG556	82.907356123
QG557	49.8869302728
QW947	34.2702474486
QX1211	299.53246662
QX1212	244.493168411
QX1233	66.8658863728
QX1791	86.7181362007
QX1792	110.068510625
QX1793	61.9476905747
QX1794	75.7241216783
RC301	141.734852974
WN2001	541.450392442
WN2002	48.3407575769
