strain	latitude	longitude	isolation	date_isolated	comment	isolated_by	city	state_province	country	location_raw
CX11315	34.12946	-118.10987	Huntington Gardens	2013-09-03	NA	NA	#ERROR!	#ERROR!	#ERROR!	Los Angeles, USA
DL200	9.03	38.74	NA	2007-12-01	NA	Dee R. Denver	#ERROR!	#ERROR!	#ERROR!	Addis Ababa, Ethiopia
DL226	44.5633	-123.2821	NA	2007-01-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Corvalis, USA
DL238	19.22	-155.82	NA	2008-07-15	NA	NA	#ERROR!	#ERROR!	#ERROR!	Manuka, HI
ECA189	19.423889	-155.2225	next to a yacon plant	2014-07-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Near Volcano National Park
ECA190	19.423889	-155.2225	next to a yacon plant	2014-07-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Near Volcano National Park
ECA191	19.424167	-155.221944	rotting ginger heap	2014-07-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Near Volcano National Park
ECA192	19.424444	-155.221944	garden trash pile by road	2014-07-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Near Volcano National Park
ECA193	19.424444	-155.221944	garden trash pile by road	2014-07-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Near Volcano National Park
ECA243	44.85	0.48	NA	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bergerac, France
ECA244	44.85	0.48	NA	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bergerac, France
ECA245	34.189	-118.131	vegetable garden	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Altadena, USA
ECA246	34.189	-118.131	organic garden	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Altadena, USA
ECA247	37.43	-122.13	compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Palo Alto, USA
ECA248	37.44	-122.14	compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Palo Alto, USA
ECA249	34.096	-117.719	NA	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Claremont, USA
ECA250	34.096	-117.719	rotting mushroom	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Claremont, USA
ECA251	34.1	-118.1	NA	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Pasadena, USA
ECA252	34.1	-118.1	flowerbed	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Pasadena, USA
ECA253	51.45	-2.59	mushroom compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bristol, United Kingdom
ECA254	51.45	-2.59	mushroom compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bristol, United Kingdom
ECA255	51.45	-2.59	mushroom compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bristol, United Kingdom
ECA257	NA	NA	NA	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	NA
ECA258	NA	NA	from a snail from Connecticut Valley Biological Supply	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	NA
ECA259	NA	NA	from a snail from Connecticut Valley Biological Supply	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	NA
ECA260	21.33	-157.86	pineapple field	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	NA
ECA274	51.45	-2.59	mushroom compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bristol, United Kingdom
ECA36	-36.893333	174.745529	garden grass	2013-07-27	NA	NA	#ERROR!	#ERROR!	#ERROR!	Auckland, New Zealand
ED3005	55.94	-3.36	NA	2004-10-25	NA	Asher D Cutter	#ERROR!	#ERROR!	#ERROR!	Edinburgh, United Kingdom
ED3011	55.92	-3.19	NA	2004-11-11	NA	Asher D Cutter	#ERROR!	#ERROR!	#ERROR!	Edinburgh, Scotland
ED3012	55.92	-3.19	NA	2004-11-26	NA	Asher D Cutter	#ERROR!	#ERROR!	#ERROR!	Edinburgh, Scotland
ED3017	55.92	-3.19	NA	2004-12-03	NA	Asher D Cutter	#ERROR!	#ERROR!	#ERROR!	Edinburgh, Scotland
ED3040	-26.1	28.01	NA	2006-03-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Johannesburg, South Africa
ED3046	-33.22	19.19	NA	2006-03-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ceres, South Africa
ED3048	-33.22	19.19	NA	2006-03-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ceres, South Africa
ED3049	-33.22	19.19	NA	2006-03-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ceres, South Africa
ED3052	-33.22	19.19	NA	2006-03-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ceres, South Africa
ED3073	-1.05	36.39	NA	2006-03-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Limuru, Kenya
ED3077	NA	NA	NA	2006-03-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Nairobi, Kenya
EG4347	44.04789	-123.07108	NA	2006-10-01	NA	Michael Ailion	#ERROR!	#ERROR!	#ERROR!	Eugene, USA
EG4349	40.771467	-111.87316	NA	2006-10-01	NA	Michael Ailion	#ERROR!	#ERROR!	#ERROR!	Salt Lake City, USA
EG4724	41.628771	-8.347617	NA	2007-03-01	NA	Michael Ailion	#ERROR!	#ERROR!	#ERROR!	Amares, Portugal
EG4725	41.628771	-8.347617	NA	2007-03-01	NA	Michael Ailion	#ERROR!	#ERROR!	#ERROR!	Amares, Portugal
EG4946	40.72596	-111.82184	NA	2007-09-27	NA	Gunther Hollopeter	#ERROR!	#ERROR!	#ERROR!	Salt Lake City, USA
GXW1	30.542889	114.419828	soil under kiwi fruit in botanical garden	2010-11-05	NA	NA	#ERROR!	#ERROR!	#ERROR!	Wuhan City, China
JT11362	47.763944	-122.275484	Worm bin w kitchen scraps and espresso grounds	2003-05-01	NA	John M. Kemner	#ERROR!	#ERROR!	#ERROR!	Lake Forest Park, USA
JT11398	47.763944	-122.275484	Worm bin fed kitchen scraps and espresso grounds	2003-12-01	NA	John M. Kemner	#ERROR!	#ERROR!	#ERROR!	Lake Forest Park, USA
JU1088	34.7613	138.0149	soil in the Kacho-en aviary	2007-03-14	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Kakegawa, Japan
JU1172	-36.87	-73.04	compost with rotting tomatoes	2007-04-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Concepcion, Chile
JU1200	55.577	-4.6	compost	2007-08-01	NA	Antony Page	#ERROR!	#ERROR!	#ERROR!	Dundonald, United Kingdom
