strain	latitude	longitude	isolation	date_isolated	comment	isolated_by	city	state_province	country	location_raw
JU397	49.28	-0.32	compost	2002-09-01	NA	Antoine Barriere	#ERROR!	#ERROR!	#ERROR!	Hermanville, France
JU406	49.28	-0.32	compost	2002-09-01	NA	Antoine Barriere	#ERROR!	#ERROR!	#ERROR!	Hermanville, France
JU440	48.715	1.56	compost	2003-09-12	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Beauchene, France
JU561	48.71	-3.81	Isolated from a sowbug found in the tub of compost from Hent ar Rhun, Finistere, France	2004-10-03	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Sainte-Barbe, France
JU642	48.84	2.5	Isolated from the compost heap in Jean-Antoine Lepesants garden	2004-12-14	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Le Perreux-sur-Marne, France
JU751	48.44	2.5	Isolated from the compost heap in Jean-Antoine Lepesants garden	2005-06-08	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Le Perreux-sur-Marne, France
JU774	38.683	-9.34	garden garbage	2005-07-10	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Carcavelos, Portugal
JU775	38.7175	-9.1486	botanical gardens	2005-07-10	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
JU778	38.719	-9.1491	botanical gardens	2005-07-10	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
JU782	38.7191	-9.1503	botanical gardens	2005-07-10	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
JU792	43.06	0.24	compost	2005-08-31	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Frechendets, France
JU830	48.52	9.05	compost	2005-09-28	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Tubingen, Germany
JU847	48.46	7.461	compost from vegetable garden/vineyards	2005-10-03	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Obernai, France
KR314	49.28	-123.13	NA	1984-05-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Vancouver, Canada
LKC34	-18	46	NA	2005-06-17	NA	NA	#ERROR!	#ERROR!	#ERROR!	Unknown city, Madagascar
LSJ1	51.45	-2.59	mushroom compost	1951-01-01	NA	Warwick L. Nicholas	#ERROR!	#ERROR!	#ERROR!	Bristol, United Kingdom
LSJ2	51.45	-2.59	mushroom compost	2009-05-05	NA	NA	#ERROR!	#ERROR!	#ERROR!	Bristol, United Kingdom
MY1	52.54	7.31	NA	2002-07-01	NA	Hinrich Schulenburg	#ERROR!	#ERROR!	#ERROR!	Lingen, Germany
MY10	51.96	7.53	NA	2002-07-01	NA	Hinrich Schulenburg	#ERROR!	#ERROR!	#ERROR!	Roxel, Germany
MY16	51.93	7.57	NA	2002-07-01	NA	Hinrich Schulenburg	#ERROR!	#ERROR!	#ERROR!	Mecklenbeck, Germany
MY18	51.96	7.53	NA	2002-07-01	NA	Hinrich Schulenburg	#ERROR!	#ERROR!	#ERROR!	Roxel, Germany
MY2001	51.950777	7.536628	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2004	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2011	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2014	51.950777	7.536628	brown slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2022	54.346355	10.117737	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2024	54.346355	10.117737	brown slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2042	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2050	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2051	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2054	51.950777	7.536628	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2078	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2097	54.346355	10.117737	brown slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2099	54.346355	10.117737	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2109	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2121	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2137	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2138	54.346355	10.117737	brown slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2142	51.950723	7.599099	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2143	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2144	51.950723	7.599099	rotting apple compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2147	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2198	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2199	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2208	54.346355	10.117737	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2212	54.346355	10.117737	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2224	54.346355	10.117737	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2239	54.346355	10.117737	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2282	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2288	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2291	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2294	51.950723	7.599099	rotting apple compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY23	51.96	7.53	NA	2002-07-01	NA	Hinrich Schulenburg	#ERROR!	#ERROR!	#ERROR!	Roxel, Germany
MY2338	51.950723	7.599099	rotting apple compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2339	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2344	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2347	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2373	54.346355	10.117737	Isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2406	54.346355	10.117737	rotting apple compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2434	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2443	51.950723	7.599099	rotting apple compost	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2453	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2479	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2481	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2491	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2502	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2530	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2532	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2535	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2541	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2573	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2579	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2585	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2622	54.3491	10.11505	myriapod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2623	54.3491	10.11505	slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2630	54.3491	10.11505	isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2635	54.3491	10.11505	isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2636	54.3491	10.11505	myriapod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2640	54.3491	10.11505	slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2649	54.3491	10.11505	myriapod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2679	54.3491	10.11505	isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2681	54.3491	10.11505	myriapod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2682	54.3491	10.11505	invertebrate	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2684	54.3491	10.11505	slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2685	54.3491	10.11505	isopod Oniscus asellus	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2688	54.3491	10.11505	slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2689	54.3491	10.11505	chilopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2691	54.3491	10.11505	isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2692	54.3491	10.11505	isopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2693	54.3491	10.11505	slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2713	54.3491	10.11505	isopod Oniscus asellus	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2719	54.3491	10.11505	chilopod	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY2741	54.3491	10.11505	slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Kiel, Germany
MY508	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY518	51.964154	7.611719	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Muenster, Nordrhein-Westfalen, Germany
MY524	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY538	54.346355	10.117737	brown slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY559	51.950723	7.599099	brown slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY561	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY564	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY570	51.950777	7.536628	brown slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY579	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY589	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY673	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY679	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY684	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY710	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY713	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY741	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY772	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY792	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY795	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY803	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY804	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY819	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY864	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY881	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY882	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY887	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY904	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY920	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY934	51.950723	7.599099	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY965	51.950777	7.536628	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY990	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY991	54.346355	10.117737	compost heap	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical Garden, Kiel, Schleswig-Holstein, Germany
N2	51.45	-2.59	mushroom compost	NA	NA	Warwick L. Nicholas	#ERROR!	#ERROR!	#ERROR!	Bristol, United Kingdom
NIC1	43.279	5.3543	rotting fruit	2008-09-14	NA	NA	#ERROR!	#ERROR!	#ERROR!	Marseille, France
NIC1049	43.593561	1.45032	Compost fresh	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Toulouse, France
NIC1107	43.716278	7.266935	Gingko fruits	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Parc Valrose, Nice, France
NIC166	46.72722	6.89775	immature prunes	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Canton of Vaud, Switzerland
NIC195	38.545874	-28.37322	apple	2011-08-22	NA	NA	#ERROR!	#ERROR!	#ERROR!	Santa Aana, Azores
NIC196	38.4716405	-28.20149	grapes	2011-08-23	NA	NA	#ERROR!	#ERROR!	#ERROR!	Pranhia, Azores
NIC197	38.39682	-28.25165	apple	2011-08-23	NA	NA	#ERROR!	#ERROR!	#ERROR!	Poco dos Patas, Azores
NIC198	39.4364016	-31.23849	humus	2011-08-29	NA	NA	#ERROR!	#ERROR!	#ERROR!	Poco dos Patas, Azores
NIC199	37.745428	-25.19929	humus	2011-03-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Faial da Terra, Azores
NIC2	43.279	5.3543	rotting plant	2008-09-14	NA	NA	#ERROR!	#ERROR!	#ERROR!	Marseille, France
NIC200	37.74942	-25.66489	unknown fruit	2011-05-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ponta Delgada, Azores
NIC207	43.720505	7.24045	rotting oranges	2011-09-21	NA	NA	#ERROR!	#ERROR!	#ERROR!	Nice, France
NIC231	43.720505	7.24045	rotting oranges	2011-11-14	NA	NA	#ERROR!	#ERROR!	#ERROR!	Nice, France
NIC232	43.720505	7.24045	rotting oranges	2011-11-14	NA	NA	#ERROR!	#ERROR!	#ERROR!	Nice, France
NIC236	39.242006	-9.313417	rotting fruit	2011-11-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lourinha, Portugal
NIC237	39.242006	-9.313417	rotting fruit	2011-11-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lourinha, Portugal
NIC242	38.691765	-9.31609	Isolated at IGC	2004-01-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	Oeiras, Portugal
NIC251	38.66621	28.151364	Rotting yellow berries from shrub.	2016-08-12	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ribeira do Nabo, Urzelina, S. Jorge, Azores
NIC252	38.661313	-28.147949	Rotting fruit (?) from Camelia.	2016-08-12	NA	NA	#ERROR!	#ERROR!	#ERROR!	Ribeira do Nabo, Urzelina, S. Jorge, Azores
NIC255	43.714834	7.266779	isolated from a rotting orange trap (trap set date: 10.27.2012)	2012-11-18	NA	NA	#ERROR!	#ERROR!	#ERROR!	Parc Valrose
NIC256	38.71829	-9.14875	fruits palm tree (olive size) ;Botanical garden	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC258	38.71829	-9.14875	fruits palm tree (large) ;Botanical garden	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC259	38.71829	-9.14875	fruits, Opuntia-like plant ;Botanical garden	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC260	38.71829	-9.14875	fruits, osage orange (Maclura pomifera ;Botanical garden	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC261	38.71829	-9.14875	fruits, Silene sp.? ;Botanical garden,	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC262	38.71829	-9.14875	Strelitzia flower (inside) ;Botanical garden,	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC263	38.71829	-9.14875	fruits palm tree (olive size) ;Botanical garden	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC265	38.71829	-9.14875	flowers, fruits, humus sample ;Botanical garden	2012-12-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Lisbon, Portugal
NIC266	38.69237	-9.31592	flowers (grapes) from tree ;Jardim do Palacio do Marques de Pombal	2012-12-07	NA	NA	#ERROR!	#ERROR!	#ERROR!	Oeiras, Portugal
NIC267	38.69237	-9.31592	Orange fruits ;Jardim do Palacio do Marques de Pombal	2012-12-07	NA	NA	#ERROR!	#ERROR!	#ERROR!	Oeiras, Portugal
NIC268	38.69237	-9.31592	Orange fruits ;Jardim do Palacio do Marques de Pombal	2012-12-07	NA	NA	#ERROR!	#ERROR!	#ERROR!	Oeiras, Portugal
NIC269	38.69237	-9.31592	Orange fruits ;Jardim do Palacio do Marques de Pombal	2012-12-07	NA	NA	#ERROR!	#ERROR!	#ERROR!	Oeiras, Portugal
NIC270	38.69237	-9.14875	Orange fruits, litter, humus ;Jardim do Palacio do Marques de Pombal	2012-12-07	NA	NA	#ERROR!	#ERROR!	#ERROR!	Oeiras, Portugal
NIC271	38.69237	-9.31592	Magnolia fruits (woody) ;Jardim do Palacio do Marques de Pombal	2012-12-07	NA	NA	#ERROR!	#ERROR!	#ERROR!	Oeiras, Portugal
NIC272	39.769459	-8.756356	litter, walnuts, isopods ;Garden,old farmhouse	2012-12-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Alqueidao da Boavista, Portugal
NIC273	39.769459	-8.756356	litter, walnuts, isopods ;Garden,old farmhouse	2012-12-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Alqueidao da Boavista, Portugal
NIC274	39.769459	-8.756356	figs, litter ;Garden,old farmhouse	2012-12-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Alqueidao da Boavista, Portugal
NIC275	39.769459	-8.756356	chestnuts, husks ;Garden,old farmhouse,	2012-12-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Alqueidao da Boavista, Portugal
NIC276	39.769459	-8.756356	Kaki fruit remains, litter, (under Kaki tree) ;Garden,old farmhouse,	2012-12-09	NA	NA	#ERROR!	#ERROR!	#ERROR!	Alqueidao da Boavista, Portugal
NIC277	43.716441	7.266138	Isolated from rotting orange (trap); trap set on 2012-11-27	2012-12-15	NA	NA	#ERROR!	#ERROR!	#ERROR!	Parc Valrose
NIC3	43.3636	5.3215	rotting figs	2008-09-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Marseille, France
NIC4	43.3636	5.3215	rotting figs	2008-09-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Marseille, France
NIC501	48.77302	2.2675	Apples	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Parc de la Vallee aux Loups, Chatenay-Malabry, France
NIC508	40.86183	14.261756	Magnolia flowers	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Naples, Italy
NIC511	40.8625	14.2623855	Citrus fruits	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Naples, Italy
NIC512	40.8625	14.2623855	Citrus fruits	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanical garden, Naples, Italy
NIC513	38.776038	-9.167136	Olives	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Parque Botanico do Monteiro-Mor, Lisbon, Portugal
NIC514	38.776038	-9.167136	Olives	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Parque Botanico do Monteiro-Mor, Lisbon, Portugal
NIC515	38.776775	-9.165884	Apples	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Parque Botanico do Monteiro-Mor, Lisbon, Portugal
NIC521	36.535679	-6.304441	Small woody fruits, humus	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cadiz, Spain
NIC522	36.535679	-6.304441	Citrus fruit	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cadiz, Spain
NIC523	36.535679	-6.29831	Ficus fruits woody, humus	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cadiz, Spain
NIC526	36.535679	-6.304441	Fruit shells, woody	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cadiz, Spain
NIC527	36.535679	-6.304441	Citrus fruit	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cadiz, Spain
NIC528	36.535679	-6.29831	Orange	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cadiz, Spain
NIC529	37.870754	-4.784967	Olives, litter, humus	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cordoba, Spain
PB303	NA	NA	came from a snail from Ward's Biological Supply	1998-11-14	NA	Scott Baird	#ERROR!	#ERROR!	#ERROR!	NA
PS2025	34.19	-118.13	garden	Unknown	NA	John DeModena	#ERROR!	#ERROR!	#ERROR!	Altadena, USA
PX179	44.035	-123.058	snail from under a rock in the rhododendron garden	2001-10-02	NA	NA	#ERROR!	#ERROR!	#ERROR!	Eugene, USA
QG2075	33.951	-83.376	store-bought mushrooms in a mushroom-feeding Drosophila vial	2013-02-20	NA	NA	#ERROR!	#ERROR!	#ERROR!	Athens, Georgia, USA
