strain	isotype	longitude	latitude	isolation	location	prev_names	warning_msg	sequenced
AB1	AB1	138.59	-34.93	NA	Adelaide, Australia	NA	NA	TRUE
AB2	AB4	NA	NA	NA	NA	NA	NA	TRUE
AB3	AB4	NA	NA	NA	NA	NA	NA	TRUE
AB4	AB4	138.59	-34.93	NA	Adelaide, Australia	NA	NA	TRUE
AF16_CGC	AF16	NA	NA	NA	NA	NA	NA	FALSE
ECA264	AF16	NA	NA	NA	NA	NA	NA	FALSE
BRC20067	BRC20067	121.169736	24.072954	unknown orangish-yellowish colored fruit	near Hehuanshan and W LIng in China	NA	NA	TRUE
CB4851	CB4851	NA	NA	NA	NA	NA	NA	TRUE
CB4851_CGC	CB4851	NA	NA	NA	NA	NA	NA	FALSE
ECA243	CB4851	0.48	44.85	NA	Bergerac, France	CB4851_CGC	NA	TRUE
ECA244	CB4851	0.48	44.85	NA	Bergerac, France	NA	NA	FALSE
CB4852	CB4852	NA	NA	NA	Unknown	NA	NA	TRUE
CB4853	CB4853	NA	NA	NA	NA	NA	NA	TRUE
CB4853_CGC	CB4853	NA	NA	NA	NA	NA	NA	FALSE
CB4853_UK	CB4853	NA	NA	NA	NA	NA	NA	FALSE
DR1350	CB4853	NA	NA	NA	NA	NA	NA	FALSE
ECA245	CB4853	-118.131	34.189	vegetable garden	Altadena, USA	CB4853_CGC	NA	TRUE
ECA246	CB4853	-118.131	34.189	organic garden	Altadena, USA	CB4853_UK	NA	TRUE
CB4854	CB4854	-118.131	34.189	vegetable garden	Altadena, USA	NA	NA	TRUE
CB4855	CB4855	NA	NA	NA	NA	NA	NA	TRUE
CB4855_CGC	CB4855	NA	NA	NA	NA	NA	NA	FALSE
CB4855_UK	CB4855	NA	NA	NA	NA	NA	NA	FALSE
ECA247	CB4855	-122.13	37.43	compost	Palo Alto, USA	NA	NA	FALSE
ECA248	CB4855	-122.14	37.44	compost	Palo Alto, USA	CB4855_UK	NA	TRUE
CB4856	CB4856	-157.86	21.33	pineapple field	Oahu, Hawaii	NA	NA	TRUE
CB4856_CGC_3	CB4856	NA	NA	NA	NA	NA	NA	FALSE
CB4856_CGC3	CB4856	NA	NA	NA	NA	NA	NA	FALSE
ECA260	CB4856	-157.86	21.33	pineapple field	NA	NA	NA	FALSE
CB4857	CB4857	NA	NA	NA	NA	NA	NA	FALSE
CB4857_CGC	CB4857	NA	NA	NA	NA	NA	NA	FALSE
CB4857_UK	CB4857	NA	NA	NA	NA	NA	NA	FALSE
ECA249	CB4857	-117.719	34.096	NA	Claremont, USA	CB4857_CGC	NA	TRUE
ECA250	CB4857	-117.719	34.096	rotting mushroom	Claremont, USA	CB4857_UK	NA	TRUE
CB4858	CB4858	NA	NA	NA	NA	NA	NA	FALSE
CB4858_UK	CB4858	NA	NA	NA	NA	NA	NA	FALSE
ECA251	CB4858	-118.1	34.1	NA	Pasadena, USA	NA	NA	FALSE
ECA252	CB4858	-118.1	34.1	flowerbed	Pasadena, USA	CB4858_UK	NA	TRUE
CB4932	CB4932	-3.1	51.02	mushroom farm	Taunton, United Kingdom	NA	NA	TRUE
CX11254	CX11254	-118.30582	34.13531	NA	Los Angeles, USA	NA	NA	TRUE
CX11262	CX11262	-118.10987	34.12946	NA	Los Angeles, USA	NA	NA	TRUE
CX11264	CX11264	-118.10987	34.12946	NA	Los Angeles, USA	NA	NA	TRUE
CX11271	CX11271	-118.12532	34.13712	compost	Los Angeles, USA	NA	NA	TRUE
CX11276	CX11276	-118.21198	34.20111	NA	Los Angeles, USA	NA	NA	TRUE
CX11285	CX11285	-118.05496	34.14331	compost	Los Angeles, USA	NA	NA	TRUE
CX11292	CX11292	-118.30582	34.13531	NA	Los Angeles, USA	NA	NA	TRUE
CX11307	CX11307	-118.10987	34.12946	Huntington Gardens	Los Angeles, USA	NA	NA	TRUE
CX11314	CX11314	-118.10987	34.12946	NA	Los Angeles, USA	NA	NA	TRUE
CX11315	CX11315	-118.10987	34.12946	Huntington Gardens	Los Angeles, USA	NA	NA	TRUE
DL200	DL200	38.74	9.03	NA	Addis Ababa, Ethiopia	NA	NA	TRUE
DL226	DL226	-123.2821	44.5633	NA	Corvalis, USA	NA	NA	TRUE
DL238	DL238	-155.82	19.22	NA	Manuka, HI	NA	NA	TRUE
ECA36	ECA36	174.745529	-36.893333	garden grass	Auckland, New Zealand	NA	NA	TRUE
ED3005	ED3005	-3.36	55.94	NA	Edinburgh, United Kingdom	NA	NA	TRUE
